,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
2528,Armstrong County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,328,165,50.3,163,49.7
2529,Atascosa County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5140,2495,48.5,2645,51.5
2530,Austin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4234,2023,47.8,2211,52.2
2531,Bailey County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,753,438,58.2,315,41.8
2532,Bandera County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3052,1251,41,1801,59
2533,Bastrop County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,11597,5263,45.4,6334,54.6
2534,Baylor County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,467,270,57.8,197,42.2
2535,Bee County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2259,796,35.2,1463,64.8
2536,Bell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,46277,20158,43.6,26119,56.4
2537,Bexar County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,311487,146254,47,165233,53
2538,Blanco County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1859,880,47.3,979,52.7
2539,Borden County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,129,59,45.7,70,54.3
2540,Bosque County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2185,953,43.6,1232,56.4
2541,Bowie County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,11614,4504,38.8,7110,61.2
2542,Brazoria County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,69223,32900,47.5,36323,52.5
2543,Brazos County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,45227,22827,50.5,22400,49.5
2544,Brewster County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1507,813,53.9,694,46.1
2545,Briscoe County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,207,101,48.8,106,51.2
2546,Brooks County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,684,242,35.4,442,64.6
2547,Brown County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5404,2198,40.7,3206,59.3
2548,Burleson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2088,886,42.4,1202,57.6
2549,Burnet County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6060,2945,48.6,3115,51.4
2550,Caldwell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4763,2184,45.9,2579,54.1
2551,Calhoun County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2421,991,40.9,1430,59.1
2552,Callahan County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1694,772,45.6,922,54.4
2553,Cameron County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,43079,18717,43.4,24362,56.6
2554,Camp County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1263,473,37.5,790,62.5
2555,Carson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1171,598,51.1,573,48.9
2556,Cass County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2824,947,33.5,1877,66.5
2557,Castro County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,920,528,57.4,392,42.6
2558,Chambers County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6447,3216,49.9,3231,50.1
2559,Cherokee County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5712,2148,37.6,3564,62.4
2560,Childress County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,985,585,59.4,400,40.6
2561,Clay County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1364,580,42.5,784,57.5
2562,Cochran County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,300,127,42.3,173,57.7
2563,Coke County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,516,174,33.7,342,66.3
2564,Coleman County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1202,602,50.1,600,49.9
2565,Collin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,262136,141729,54.1,120407,45.9
2566,Collingsworth County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,353,169,47.9,184,52.1
2567,Colorado County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2643,1131,42.8,1512,57.2
2568,Comal County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,24444,12403,50.7,12041,49.3
2569,Comanche County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1835,828,45.1,1007,54.9
2570,Concho County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,273,147,53.8,126,46.2
2571,Cooke County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5480,2540,46.4,2940,53.6
2572,Coryell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7170,2977,41.5,4193,58.5
2573,Cottle County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,156,57,36.5,99,63.5
2574,Crane County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,439,270,61.5,169,38.5
2575,Crockett County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,465,181,38.9,284,61.1
2576,Crosby County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,635,342,53.9,293,46.1
2577,Culberson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,218,110,50.5,108,49.5
2578,Dallam County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,831,534,64.3,297,35.7
2579,Dallas County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,440330,215160,48.9,225170,51.1
2580,Dawson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1237,515,41.6,722,58.4
2581,Deaf Smith County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2047,810,39.6,1237,60.4
2582,Delta County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,694,324,46.7,370,53.3
2583,Denton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,202551,103340,51,99211,49
2584,DeWitt County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2487,1247,50.1,1240,49.9
2585,Dickens County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,234,114,48.7,120,51.3
2586,Dimmit County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,952,508,53.4,444,46.6
2587,Donley County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,500,260,52,240,48
2588,Duval County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,730,286,39.2,444,60.8
2589,Eastland County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2194,1154,52.6,1040,47.4
2590,Ector County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,17740,7987,45,9753,55
2591,Edwards County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,129,64,49.6,65,50.4
2592,Ellis County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,27567,11816,42.9,15751,57.1
2593,El Paso County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,105728,49977,47.3,55751,52.7
2594,Erath County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6439,2924,45.4,3515,54.6
2595,Falls County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1303,487,37.4,816,62.6
2596,Fannin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4346,1872,43.1,2474,56.9
2597,Fayette County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2654,1184,44.6,1470,55.4
2598,Fisher County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,573,315,55,258,45
2599,Floyd County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,712,325,45.6,387,54.4
2600,Foard County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,157,94,59.9,63,40.1
2601,Fort Bend County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,178489,92452,51.8,86037,48.2
2602,Franklin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1467,643,43.8,824,56.2
2603,Freestone County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1959,912,46.6,1047,53.4
2604,Frio County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1477,699,47.3,778,52.7
2605,Gaines County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2401,1334,55.6,1067,44.4
2606,Galveston County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,62961,30856,49,32105,51
2607,Garza County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,625,222,35.5,403,64.5
2608,Gillespie County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4007,1679,41.9,2328,58.1
2609,Glasscock County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,284,183,64.4,101,35.6
2610,Goliad County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1022,453,44.3,569,55.7
2611,Gonzales County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1927,848,44,1079,56
2612,Gray County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2204,917,41.6,1287,58.4
2613,Grayson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,18340,7945,43.3,10395,56.7
2614,Gregg County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,15920,6717,42.2,9203,57.8
2615,Grimes County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2626,1077,41,1549,59
2616,Guadalupe County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,24291,10457,43,13834,57
2617,Hale County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3782,1767,46.7,2015,53.3
2618,Hall County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,281,132,47,149,53
2619,Hamilton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1052,400,38,652,62
2620,Hansford County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,735,424,57.7,311,42.3
2621,Hardeman County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,529,231,43.7,298,56.3
2622,Hardin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7359,3159,42.9,4200,57.1
2623,Harris County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,790357,396058,50.1,394299,49.9
2624,Harrison County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,9743,4071,41.8,5672,58.2
2625,Hartley County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,810,334,41.2,476,58.8
2626,Haskell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,567,267,47.1,300,52.9
2627,Hays County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,39507,19204,48.6,20303,51.4
2628,Hemphill County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,577,254,44,323,56
2629,Henderson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,9155,3811,41.6,5344,58.4
2630,Hidalgo County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,88824,40950,46.1,47874,53.9
2631,Hill County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3730,1552,41.6,2178,58.4
2632,Hockley County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2781,1225,44,1556,56
2633,Hood County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8001,3636,45.4,4365,54.6
2634,Hopkins County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4505,1830,40.6,2675,59.4
2635,Houston County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2038,783,38.4,1255,61.6
2636,Howard County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4125,1963,47.6,2162,52.4
2637,Hudspeth County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,249,124,49.8,125,50.2
2638,Hunt County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,12917,6079,47.1,6838,52.9
2639,Hutchinson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2155,837,38.8,1318,61.2
2640,Irion County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,210,102,48.6,108,51.4
2641,Jack County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,881,486,55.2,395,44.8
2642,Jackson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1724,832,48.3,892,51.7
2643,Jasper County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3672,1449,39.5,2223,60.5
2644,Jeff Davis County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,267,152,56.9,115,43.1
2645,Jefferson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,31134,14087,45.2,17047,54.8
2646,Jim Hogg County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,440,154,35,286,65
2647,Jim Wells County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4568,1795,39.3,2773,60.7
2648,Johnson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,21966,9414,42.9,12552,57.1
2649,Jones County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1755,465,26.5,1290,73.5
2650,Karnes County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1594,816,51.2,778,48.8
2651,Kaufman County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,18209,8179,44.9,10030,55.1
2652,Kendall County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8775,4561,52,4214,48
2653,Kenedy County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,26,25,96.2,1,3.8
2654,Kent County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,140,54,38.6,86,61.4
2655,Kerr County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6647,3184,47.9,3463,52.1
2656,Kimble County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,643,300,46.7,343,53.3
2657,King County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,47,24,51.1,23,48.9
2658,Kinney County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,257,130,50.6,127,49.4
2659,Kleberg County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3696,1405,38,2291,62
2660,Knox County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,425,166,39.1,259,60.9
2661,Lamar County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5835,2253,38.6,3582,61.4
2662,Lamb County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1947,933,47.9,1014,52.1
2663,Lampasas County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3175,1597,50.3,1578,49.7
2664,La Salle County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,780,408,52.3,372,47.7
2665,Lavaca County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2827,1260,44.6,1567,55.4
2666,Lee County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2068,1011,48.9,1057,51.1
2667,Leon County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1739,762,43.8,977,56.2
2668,Liberty County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6883,3079,44.7,3804,55.3
2669,Limestone County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2322,940,40.5,1382,59.5
2670,Lipscomb County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,482,262,54.4,220,45.6
2671,Live Oak County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1205,535,44.4,670,55.6
2672,Llano County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2180,1066,48.9,1114,51.1
2673,Loving County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,9,0,0,9,100
2674,Lubbock County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,52880,24434,46.2,28446,53.8
2675,Lynn County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,794,374,47.1,420,52.9
2676,McCulloch County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,901,422,46.8,479,53.2
2677,McLennan County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,36685,16493,45,20192,55
2678,McMullen County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,115,72,62.6,43,37.4
2679,Madison County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1247,442,35.4,805,64.6
2680,Marion County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,968,400,41.3,568,58.7
2681,Martin County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,756,346,45.8,410,54.2
2682,Mason County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,415,224,54,191,46
2683,Matagorda County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4262,1938,45.5,2324,54.5
2684,Maverick County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4251,1885,44.3,2366,55.7
2685,Medina County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6835,3338,48.8,3497,51.2
2686,Menard County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,302,148,49,154,51
2687,Midland County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,29156,14817,50.8,14339,49.2
2688,Milam County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3025,1334,44.1,1691,55.9
2689,Mills County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,523,183,35,340,65
2690,Mitchell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,888,358,40.3,530,59.7
2691,Montague County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2037,890,43.7,1147,56.3
2692,Montgomery County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,107049,56663,52.9,50386,47.1
2693,Moore County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2374,965,40.6,1409,59.4
2694,Morris County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1262,338,26.8,924,73.2
2695,Motley County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,185,74,40,111,60
2696,Nacogdoches County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8784,3896,44.4,4888,55.6
2697,Navarro County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6067,2799,46.1,3268,53.9
2698,Newton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1121,389,34.7,732,65.3
2699,Nolan County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1694,738,43.6,956,56.4
2700,Nueces County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,50862,22923,45.1,27939,54.9
2701,Ochiltree County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1091,526,48.2,565,51.8
2702,Oldham County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,254,141,55.5,113,44.5
2703,Orange County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,10833,4386,40.5,6447,59.5
2704,Palo Pinto County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3014,1498,49.7,1516,50.3
2705,Panola County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2631,1213,46.1,1418,53.9
2706,Parker County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,23055,11407,49.5,11648,50.5
2707,Parmer County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1281,764,59.6,517,40.4
2708,Pecos County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1368,614,44.9,754,55.1
2709,Polk County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4534,1873,41.3,2661,58.7
2710,Potter County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,12876,5661,44,7215,56
2711,Presidio County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,910,497,54.6,413,45.4
2712,Rains County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1429,589,41.2,840,58.8
2713,Randall County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,26464,12044,45.5,14420,54.5
2714,Reagan County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,389,175,45,214,55
2715,Real County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,366,160,43.7,206,56.3
2716,Red River County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1283,436,34,847,66
2717,Reeves County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1272,549,43.2,723,56.8
2718,Refugio County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,724,328,45.3,396,54.7
2719,Roberts County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,170,85,50,85,50
2720,Robertson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2038,994,48.8,1044,51.2
2721,Rockwall County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,21893,11785,53.8,10108,46.2
2722,Runnels County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1316,667,50.7,649,49.3
2723,Rusk County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5682,2399,42.2,3283,57.8
2724,Sabine County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,673,262,38.9,411,61.1
2725,San Augustine County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,723,234,32.4,489,67.6
2726,San Jacinto County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2273,1161,51.1,1112,48.9
2727,San Patricio County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8047,3315,41.2,4732,58.8
2728,San Saba County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,734,481,65.5,253,34.5
2729,Schleicher County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,414,177,42.8,237,57.2
2730,Scurry County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1537,676,44,861,56
2731,Shackelford County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,496,193,38.9,303,61.1
2732,Shelby County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2336,886,37.9,1450,62.1
2733,Sherman County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,517,281,54.4,236,45.6
2734,Smith County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,33638,15247,45.3,18391,54.7
2735,Somervell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1408,758,53.8,650,46.2
2736,Starr County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5260,2144,40.8,3116,59.2
2737,Stephens County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,930,518,55.7,412,44.3
2738,Sterling County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,143,46,32.2,97,67.8
2739,Stonewall County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,199,91,45.7,108,54.3
2740,Sutton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,633,293,46.3,340,53.7
2741,Swisher County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,836,497,59.4,339,40.6
2742,Tarrant County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,364845,174404,47.8,190441,52.2
2743,Taylor County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,19774,8558,43.3,11216,56.7
2744,Terrell County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,91,41,45.1,50,54.9
2745,Terry County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1384,565,40.8,819,59.2
2746,Throckmorton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,221,96,43.4,125,56.6
2747,Titus County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3057,1431,46.8,1626,53.2
2748,Tom Green County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,17143,7857,45.8,9286,54.2
2749,Travis County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,321206,169768,52.9,151438,47.1
2750,Trinity County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1457,657,45.1,800,54.9
2751,Tyler County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1690,865,51.2,825,48.8
2752,Upshur County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4789,2337,48.8,2452,51.2
2753,Upton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,393,181,46.1,212,53.9
2754,Uvalde County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2644,1233,46.6,1411,53.4
2755,Val Verde County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4529,1735,38.3,2794,61.7
2756,Van Zandt County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6901,3177,46,3724,54
2757,Victoria County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,12803,5525,43.2,7278,56.8
2758,Walker County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7764,3358,43.3,4406,56.7
2759,Waller County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6280,3526,56.1,2754,43.9
2760,Ward County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1321,580,43.9,741,56.1
2761,Washington County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5148,2182,42.4,2966,57.6
2762,Webb County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,28136,12617,44.8,15519,55.2
2763,Wharton County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4837,2009,41.5,2828,58.5
2764,Wheeler County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,664,283,42.6,381,57.4
2765,Wichita County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,17751,7587,42.7,10164,57.3
2766,Wilbarger County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1686,859,50.9,827,49.1
2767,Willacy County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1544,586,38,958,62
2768,Williamson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,122039,63461,52,58578,48
2769,Wilson County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6905,3115,45.1,3790,54.9
2770,Winkler County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,645,305,47.3,340,52.7
2771,Wise County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8301,3683,44.4,4618,55.6
2772,Wood County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4588,1938,42.2,2650,57.8
2773,Yoakum County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,896,338,37.7,558,62.3
2774,Young County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2595,1350,52,1245,48
2775,Zapata County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,787,380,48.3,407,51.7
2776,Zavala County,TX,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1380,299,21.7,1081,78.3
2777,Beaver County,UT,MANAGEMENT_BUSINESS_SCIENCE_ARTS,723,379,52.4,344,47.6
2778,Box Elder County,UT,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7379,3974,53.9,3405,46.1
2779,Cache County,UT,MANAGEMENT_BUSINESS_SCIENCE_ARTS,22480,12247,54.5,10233,45.5
