,COUNTYNAME,STATE,OCCUPATION_LEVEL,TOTALS,MALE,PERCENT_MALE,FEMALE,PERCENT FEMALE
57,St. Clair County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,11127,4868,43.7,6259,56.3
58,Shelby County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,46895,23796,50.7,23099,49.3
59,Sumter County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1063,460,43.3,603,56.7
60,Talladega County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8942,3423,38.3,5519,61.7
61,Tallapoosa County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4436,1851,41.7,2585,58.3
62,Tuscaloosa County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,32937,14686,44.6,18251,55.4
63,Walker County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,6444,2689,41.7,3755,58.3
64,Washington County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1279,604,47.2,675,52.8
65,Wilcox County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,738,273,37,465,63
66,Winston County,AL,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2168,822,37.9,1346,62.1
67,Aleutians East Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,412,199,48.3,213,51.7
68,Aleutians West Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,697,411,59,286,41
69,Anchorage Municipality,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,60858,28700,47.2,32158,52.8
70,Bethel Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2292,988,43.1,1304,56.9
71,Bristol Bay Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,152,65,42.8,87,57.2
72,Denali Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,319,143,44.8,176,55.2
73,Dillingham Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,892,353,39.6,539,60.4
74,Fairbanks North Star Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,16995,7916,46.6,9079,53.4
75,Haines Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,534,285,53.4,249,46.6
76,Hoonah-Angoon Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,380,173,45.5,207,54.5
77,Juneau City and Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,7930,3544,44.7,4386,55.3
78,Kenai Peninsula Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,8526,3828,44.9,4698,55.1
79,Ketchikan Gateway Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2037,965,47.4,1072,52.6
80,Kodiak Island Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1994,711,35.7,1283,64.3
81,Kusilvak Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,623,198,31.8,425,68.2
82,Lake and Peninsula Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,244,96,39.3,148,60.7
83,Matanuska-Susitna Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,14163,6717,47.4,7446,52.6
84,Nome Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1435,576,40.1,859,59.9
85,North Slope Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1966,1211,61.6,755,38.4
86,Northwest Arctic Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,981,392,40,589,60
87,Petersburg Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,418,158,37.8,260,62.2
88,Prince of Wales-Hyder Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,932,382,41,550,59
89,Sitka City and Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1958,916,46.8,1042,53.2
90,Skagway Municipality,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,213,84,39.4,129,60.6
91,Southeast Fairbanks Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,816,414,50.7,402,49.3
92,Valdez-Cordova Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1439,672,46.7,767,53.3
93,Wrangell City and Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,394,186,47.2,208,52.8
94,Yakutat City and Borough,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,103,44,42.7,59,57.3
95,Yukon-Koyukuk Census Area,AK,MANAGEMENT_BUSINESS_SCIENCE_ARTS,795,295,37.1,500,62.9
96,Apache County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5758,2319,40.3,3439,59.7
97,Cochise County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,14526,7503,51.7,7023,48.3
98,Coconino County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,23939,10484,43.8,13455,56.2
99,Gila County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5905,2510,42.5,3395,57.5
100,Graham County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3563,1443,40.5,2120,59.5
101,Greenlee County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,924,388,42,536,58
102,La Paz County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1630,805,49.4,825,50.6
103,Maricopa County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,753860,376430,49.9,377430,50.1
104,Mohave County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,18232,7508,41.2,10724,58.8
105,Navajo County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,9923,4234,42.7,5689,57.3
106,Pima County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,160686,76849,47.8,83837,52.2
107,Pinal County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,45177,20206,44.7,24971,55.3
108,Santa Cruz County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4370,1916,43.8,2454,56.2
109,Yavapai County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,26549,12276,46.2,14273,53.8
110,Yuma County,AZ,MANAGEMENT_BUSINESS_SCIENCE_ARTS,19360,9126,47.1,10234,52.9
111,Arkansas County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2178,1129,51.8,1049,48.2
112,Ashley County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1896,583,30.7,1313,69.3
113,Baxter County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,5070,1930,38.1,3140,61.9
114,Benton County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,47280,24667,52.2,22613,47.8
115,Boone County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,4966,2217,44.6,2749,55.4
116,Bradley County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1090,431,39.5,659,60.5
117,Calhoun County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,553,213,38.5,340,61.5
118,Carroll County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3208,1610,50.2,1598,49.8
119,Chicot County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1094,395,36.1,699,63.9
120,Clark County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,3356,1494,44.5,1862,55.5
121,Clay County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1533,577,37.6,956,62.4
122,Cleburne County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2698,1126,41.7,1572,58.3
123,Cleveland County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,1029,426,41.4,603,58.6
124,Columbia County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2833,1038,36.6,1795,63.4
125,Conway County,AR,MANAGEMENT_BUSINESS_SCIENCE_ARTS,2281,832,36.5,1449,63.5
