,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
623,Columbia County,AR,22464,21992,143,329
624,Columbia County,FL,64976,62375,1475,1126
625,Columbia County,GA,137922,127137,5982,4803
626,Columbia County,NY,58347,54172,2241,1934
627,Columbia County,OR,48237,46899,637,701
628,Columbia County,PA,63200,61679,873,648
629,Columbia County,WA,3841,3545,187,109
630,Columbia County,WI,53905,52522,689,694
631,Columbiana County,OH,98580,97526,513,541
632,Columbus County,NC,53474,51634,652,1188
633,Colusa County,CA,19875,14007,2522,3346
634,Comal County,TX,127242,118817,3324,5101
635,Comanche County,KS,1691,1636,4,51
636,Comanche County,OK,113779,107440,3423,2916
637,Comanche County,TX,12733,11575,314,844
638,Concho County,TX,4112,2991,47,1074
639,Concordia Parish,LA,18765,18582,106,77
640,Conecuh County,AL,11799,11710,32,57
641,Conejos County,CO,7569,7365,68,136
642,Contra Costa County,CA,1067742,786151,152652,128939
643,Converse County,WY,13044,12769,108,167
644,Conway County,AR,19668,19194,132,342
645,Cook County,GA,16056,15611,125,320
646,Cook County,IL,4895875,3801713,549674,544488
647,Cook County,MN,5092,4782,104,206
648,Cooke County,TX,36894,33291,834,2769
649,Cooper County,MO,16632,16471,84,77
650,Coos County,NH,30761,29627,786,348
651,Coos County,OR,60203,57997,1066,1140
652,Coosa County,AL,10513,10462,3,48
653,Copiah County,MS,26942,26398,225,319
654,Corozal Municipio,PR,32405,32363,0,42
655,Corson County,SD,3732,3722,6,4
656,Cortland County,NY,45596,44650,585,361
657,Coryell County,TX,70036,65163,2781,2092
658,Coshocton County,OH,34273,34046,172,55
659,Costilla County,CO,3548,3186,146,216
660,Cottle County,TX,1457,1416,0,41
661,Cotton County,OK,5631,5617,13,1
662,Cottonwood County,MN,10594,9944,239,411
663,Covington County,AL,35209,34931,141,137
664,Covington County,MS,17795,17712,30,53
665,Covington city,VA,5346,5157,144,45
666,Coweta County,GA,131850,123384,3643,4823
667,Cowley County,KS,33398,32240,624,534
668,Cowlitz County,WA,98815,94533,2135,2147
669,Craig County,OK,13683,13453,92,138
670,Craig County,VA,4872,4858,13,1
671,Craighead County,AR,98314,94069,729,3516
672,Crane County,TX,4458,3679,372,407
673,Craven County,NC,96398,91804,2016,2578
674,Crawford County,AR,58595,56299,786,1510
675,Crawford County,GA,11700,11568,111,21
676,Crawford County,IA,15996,13122,569,2305
677,Crawford County,IL,18062,17703,196,163
678,Crawford County,IN,10018,9999,19,0
679,Crawford County,KS,36763,35281,525,957
680,Crawford County,MI,13230,12967,179,84
681,Crawford County,MO,22889,22670,96,123
682,Crawford County,OH,39603,39128,180,295
683,Crawford County,PA,81501,80392,632,477
684,Crawford County,WI,15487,15350,86,51
685,Creek County,OK,66665,65201,648,816
686,Crenshaw County,AL,13078,12808,78,192
687,Crisp County,GA,21382,20742,161,479
688,Crittenden County,AR,45270,44459,210,601
689,Crittenden County,KY,8596,8552,23,21
690,Crockett County,TN,13615,13006,175,434
691,Crockett County,TX,3330,2992,133,205
692,Crook County,OR,21245,20632,174,439
693,Crook County,WY,6893,6835,17,41
694,Crosby County,TX,5461,5283,84,94
695,Cross County,AR,15880,15808,16,56
696,Crow Wing County,MN,60347,59449,601,297
697,Crowley County,CO,5456,5194,6,256
698,Culberson County,TX,2046,1765,172,109
699,Culebra Municipio,PR,1258,1207,17,34
700,Cullman County,AL,77334,75366,746,1222
701,Culpeper County,VA,47159,42803,1977,2379
702,Cumberland County,IL,10198,10092,48,58
703,Cumberland County,KY,6293,6242,21,30
704,Cumberland County,ME,276789,259363,9561,7865
705,Cumberland County,NC,306684,285634,11961,9089
706,Cumberland County,NJ,143455,127530,5616,10309
707,Cumberland County,PA,234212,218640,7950,7622
708,Cumberland County,TN,55822,54631,484,707
709,Cumberland County,VA,9272,9167,105,0
710,Cuming County,NE,8458,7966,179,313
711,Currituck County,NC,24396,23883,302,211
712,Curry County,NM,46039,40954,1858,3227
713,Curry County,OR,21599,20862,497,240
714,Custer County,CO,4539,4419,114,6
715,Custer County,ID,3988,3936,23,29
716,Custer County,MT,11113,10923,113,77
717,Custer County,NE,10153,9941,99,113
718,Custer County,OK,26984,25043,585,1356
719,Custer County,SD,8241,8027,96,118
720,Cuyahoga County,OH,1181408,1091324,54455,35629
721,Dade County,GA,15460,15115,213,132
722,Dade County,MO,7236,7169,39,28
723,Daggett County,UT,587,570,9,8
724,Dakota County,MN,390804,351131,22366,17307
725,Dakota County,NE,18534,13696,1996,2842
726,Dale County,AL,46024,44508,699,817
727,Dallam County,TX,6551,4993,288,1270
728,Dallas County,AL,37552,37024,162,366
729,Dallas County,AR,7064,6999,57,8
730,Dallas County,IA,77336,70695,2627,4014
731,Dallas County,MO,15528,15315,82,131
732,Dallas County,TX,2390700,1768140,184760,437800
733,Dane County,WI,499042,453767,18398,26877
734,Daniels County,MT,1655,1583,65,7
735,Danville city,VA,39040,37777,567,696
736,Dare County,NC,34064,32358,558,1148
737,Darke County,OH,48622,48073,327,222
738,Darlington County,SC,63300,62094,612,594
739,Dauphin County,PA,257333,237223,10299,9811
740,Davidson County,NC,155676,147423,2679,5574
741,Davidson County,TN,637575,551340,30256,55979
742,Davie County,NC,40010,38074,684,1252
743,Daviess County,IN,30341,29436,200,705
744,Daviess County,KY,93192,90375,883,1934
745,Daviess County,MO,7769,7704,23,42
746,Davis County,IA,8109,8006,84,19
747,Davis County,UT,310560,295053,8414,7093
748,Davison County,SD,18757,18502,116,139
749,Dawes County,NE,8403,8306,21,76
750,Dawson County,GA,22505,21873,345,287
751,Dawson County,MT,8595,8505,16,74
752,Dawson County,NE,21820,17264,2056,2500
753,Dawson County,TX,12112,11291,314,507
754,Day County,SD,5205,5183,5,17
755,De Baca County,NM,1955,1901,22,32
756,De Soto Parish,LA,25530,25203,224,103
757,De Witt County,IL,15168,14918,66,184
758,DeKalb County,AL,66949,61666,980,4303
759,DeKalb County,GA,690205,569992,49807,70406
760,DeKalb County,IL,98175,90987,2395,4793
761,DeKalb County,IN,40079,39490,338,251
762,DeKalb County,MO,12017,11929,48,40
763,DeKalb County,TN,18523,17324,175,1024
764,DeSoto County,FL,34527,28544,1647,4336
765,DeSoto County,MS,165256,158904,2677,3675
766,DeWitt County,TX,19133,18197,225,711
767,Deaf Smith County,TX,17236,14124,738,2374
768,Dearborn County,IN,46923,46409,339,175
769,Decatur County,GA,25031,24313,177,541
770,Decatur County,IA,7575,7413,48,114
771,Decatur County,IN,24821,24345,204,272
772,Decatur County,KS,2714,2636,23,55
773,Decatur County,TN,11078,11010,37,31
774,Deer Lodge County,MT,8774,8545,159,70
775,Defiance County,OH,36075,35321,452,302
776,Del Norte County,CA,25840,23957,925,958
777,Delaware County,IA,16158,16067,39,52
778,Delaware County,IN,109756,107125,950,1681
779,Delaware County,NY,43707,41625,1133,949
780,Delaware County,OH,184623,170513,7973,6137
781,Delaware County,OK,39998,39092,432,474
782,Delaware County,PA,529781,473010,32261,24510
783,Delta County,CO,28832,27526,512,794
784,Delta County,MI,34366,33915,293,158
785,Delta County,TX,4900,4827,51,22
786,Denali Borough,AK,2166,1939,31,196
787,Dent County,MO,14630,14516,67,47
788,Denton County,TX,754621,634391,54464,65766
789,Denver County,CO,649996,542374,39907,67715
790,Des Moines County,IA,37263,36561,254,448
791,Deschutes County,OR,171266,163170,3856,4240
792,Desha County,AR,11129,10679,91,359
793,Deuel County,NE,1783,1756,15,12
794,Deuel County,SD,4048,4000,0,48
795,Dewey County,OK,4577,4431,17,129
796,Dewey County,SD,5073,5061,4,8
797,Dickens County,TX,2107,1987,20,100
798,Dickenson County,VA,14203,14139,20,44
799,Dickey County,ND,4691,4569,34,88
800,Dickinson County,IA,16232,15981,68,183
801,Dickinson County,KS,17796,17407,224,165
802,Dickinson County,MI,24311,24000,217,94
803,Dickson County,TN,48788,47773,408,607
804,Dillingham Census Area,AK,4497,4354,103,40
805,Dillon County,SC,28750,28095,62,593
806,Dimmit County,TX,9648,8751,501,396
807,Dinwiddie County,VA,26838,26023,363,452
808,Divide County,ND,2253,2133,73,47
809,Dixie County,FL,15704,15361,224,119
810,Dixon County,NE,5355,4958,181,216
811,Doddridge County,WV,8210,8155,22,33
812,Dodge County,GA,19813,19500,66,247
813,Dodge County,MN,19252,18773,186,293
814,Dodge County,NE,34215,31758,467,1990
815,Dodge County,WI,83516,81742,682,1092
816,Dolores County,CO,1758,1740,3,15
817,Doniphan County,KS,7350,7296,17,37
818,Donley County,TX,3225,3151,36,38
819,Dooly County,GA,13342,12787,206,349
820,Door County,WI,26415,25595,409,411
821,Dorado Municipio,PR,35368,34722,289,357
822,Dorchester County,MD,30404,29296,445,663
823,Dorchester County,SC,145951,139215,3373,3363
824,Dougherty County,GA,84898,82878,784,1236
825,Douglas County,CO,308690,285220,13013,10457
826,Douglas County,GA,132882,120780,6578,5524
827,Douglas County,IL,18389,17688,343,358
828,Douglas County,KS,113095,104524,2952,5619
829,Douglas County,MN,35119,34663,293,163
830,Douglas County,MO,12656,12548,79,29
831,Douglas County,NE,512816,460287,17782,34747
832,Douglas County,NV,46060,42438,1877,1745
833,Douglas County,OR,102742,99701,1596,1445
834,Douglas County,SD,2735,2678,11,46
835,Douglas County,WA,38580,32218,2016,4346
836,Douglas County,WI,41193,40174,521,498
837,Drew County,AR,17380,17160,88,132
838,DuPage County,IL,876425,700141,102125,74159
839,Dubois County,IN,39610,37866,537,1207
840,Dubuque County,IA,90681,88052,1156,1473
841,Duchesne County,UT,18220,17580,264,376
842,Dukes County,MA,16662,14564,1027,1071
843,Dundy County,NE,1910,1753,12,145
844,Dunklin County,MO,28289,27368,126,795
845,Dunn County,ND,4085,3989,38,58
846,Dunn County,WI,42155,40896,573,686
847,Duplin County,NC,55341,48433,1061,5847
848,Durham County,NC,285926,244273,12801,28852
849,Dutchess County,NY,280263,246539,19881,13843
850,Duval County,FL,861739,762872,54653,44214
851,Duval County,TX,10542,9916,332,294
852,Dyer County,TN,35329,34607,389,333
853,Eagle County,CO,51212,41325,2425,7462
854,Early County,GA,9684,9505,68,111
855,East Baton Rouge Parish,LA,414725,390904,9415,14406
856,East Carroll Parish,LA,6848,6796,18,34
857,East Feliciana Parish,LA,18545,18393,67,85
858,Eastland County,TX,17291,16608,324,359
859,Eaton County,MI,103170,99145,1888,2137
860,Eau Claire County,WI,97066,93226,2125,1715
861,Echols County,GA,3808,3519,116,173
862,Ector County,TX,143816,123014,7563,13239
863,Eddy County,ND,2130,2123,0,7
864,Eddy County,NM,53259,49601,1207,2451
865,Edgar County,IL,16636,16388,145,103
866,Edgecombe County,NC,50190,49025,301,864
867,Edgefield County,SC,25760,24694,290,776
868,Edmonson County,KY,11574,11501,33,40
869,Edmunds County,SD,3688,3630,16,42
870,Edwards County,IL,6133,6103,17,13
871,Edwards County,KS,2750,2477,93,180
872,Edwards County,TX,1935,1842,42,51
873,Effingham County,GA,54753,53031,777,945
874,Effingham County,IL,31940,31246,255,439
875,El Dorado County,CA,177989,160189,10040,7760
876,El Paso County,CO,641191,593933,24861,22397
877,El Paso County,TX,772472,565367,95146,111959
878,Elbert County,CO,24076,23422,348,306
879,Elbert County,GA,18092,17604,167,321
880,Elk County,KS,2430,2408,14,8
881,Elk County,PA,29010,28750,165,95
882,Elkhart County,IN,188202,172425,4728,11049
883,Elko County,NV,48523,43935,1762,2826
884,Elliott County,KY,7171,7153,12,6
885,Ellis County,KS,27045,26149,329,567
886,Ellis County,OK,3824,3724,22,78
887,Ellis County,TX,157446,143140,5183,9123
888,Ellsworth County,KS,5954,5848,33,73
889,Elmore County,AL,76476,75030,676,770
890,Elmore County,ID,24352,22045,1012,1295
891,Emanuel County,GA,20971,20539,103,329
892,Emery County,UT,9555,9325,79,151
893,Emmet County,IA,9050,8615,155,280
894,Emmet County,MI,31444,30838,361,245
895,Emmons County,ND,3171,3122,24,25
896,Emporia city,VA,5138,4975,90,73
897,Erath County,TX,39033,35800,1126,2107
898,Erie County,NY,869634,804997,33726,30911
899,Erie County,OH,71154,69578,876,700
900,Erie County,PA,260311,247533,5770,7008
901,Escambia County,AL,35206,34841,234,131
902,Escambia County,FL,292678,277531,8255,6892
903,Esmeralda County,NV,948,833,23,92
904,Essex County,MA,736912,607962,70591,58359
905,Essex County,NJ,741002,532448,113176,95378
906,Essex County,NY,36256,35039,523,694
907,Essex County,VA,10375,10193,115,67
908,Essex County,VT,5946,5726,144,76
909,Estill County,KY,13563,13554,0,9
910,Etowah County,AL,97146,94169,1097,1880
911,Eureka County,NV,1763,1741,5,17
912,Evangeline Parish,LA,31342,30327,97,918
913,Evans County,GA,9946,9467,124,355
914,Fairbanks North Star Borough,AK,91756,86670,2843,2243
915,Fairfax County,VA,1069499,715273,195238,158988
916,Fairfax city,VA,21968,15486,3262,3220
917,Fairfield County,CT,891774,688175,96102,107497
918,Fairfield County,OH,143921,138946,2995,1980
919,Fairfield County,SC,21666,21382,133,151
920,Fajardo Municipio,PR,30376,29597,310,469
921,Fall River County,SD,6467,6353,54,60
922,Fallon County,MT,2655,2616,0,39
923,Falls Church city,VA,13240,10605,1579,1056
924,Falls County,TX,16257,15274,323,660
925,Fannin County,GA,23932,23398,343,191
926,Fannin County,TX,32453,30634,309,1510
927,Faribault County,MN,13073,12775,88,210
928,Faulk County,SD,2139,2137,1,1
929,Faulkner County,AR,114688,110792,1148,2748
930,Fauquier County,VA,65079,60530,2269,2280
931,Fayette County,AL,15660,15509,127,24
932,Fayette County,GA,106458,95282,6201,4975
933,Fayette County,IA,18827,18575,101,151
934,Fayette County,IL,20548,20360,93,95
935,Fayette County,IN,22101,21939,101,61
936,Fayette County,KY,299060,268909,8504,21647
937,Fayette County,OH,26872,26395,105,372
938,Fayette County,PA,125602,123899,842,861
939,Fayette County,TN,37650,36975,331,344
940,Fayette County,TX,23810,22148,854,808
941,Fayette County,WV,41596,41330,96,170
942,Fentress County,TN,16931,16776,129,26
943,Fergus County,MT,10645,10486,77,82
944,Ferry County,WA,7250,7142,30,78
945,Fillmore County,MN,19526,19218,81,227
946,Fillmore County,NE,5313,5228,76,9
947,Finney County,KS,33640,25719,2879,5042
948,Fisher County,TX,3621,3446,38,137
949,Flagler County,FL,102808,90338,8645,3825
950,Flathead County,MT,92374,90229,1497,648
951,Fleming County,KY,13459,13386,42,31
952,Florence County,SC,129922,126020,2231,1671
953,Florence County,WI,4154,4094,25,35
954,Florida Municipio,PR,11288,11273,0,15
955,Floyd County,GA,90973,84323,2069,4581
956,Floyd County,IA,15022,14647,205,170
957,Floyd County,IN,72277,70652,845,780
958,Floyd County,KY,34700,34542,122,36
959,Floyd County,TX,5491,4968,141,382
960,Floyd County,VA,14933,14464,246,223
961,Fluvanna County,VA,25119,24179,457,483
962,Foard County,TX,1346,1295,20,31
963,Fond du Lac County,WI,96562,93137,1220,2205
964,Ford County,IL,12663,12540,58,65
965,Ford County,KS,31223,22120,2158,6945
966,Forest County,PA,7190,7058,83,49
967,Forest County,WI,8484,8392,48,44
968,Forrest County,MS,70504,68452,591,1461
969,Forsyth County,GA,206262,169766,15944,20552
970,Forsyth County,NC,348834,316391,11541,20902
971,Fort Bend County,TX,687687,479462,111541,96684
972,Foster County,ND,3100,3072,0,28
973,Fountain County,IN,15568,15298,92,178
974,Franklin County,AL,29377,26610,505,2262
975,Franklin County,AR,16779,16462,258,59
976,Franklin County,FL,11220,10827,174,219
977,Franklin County,GA,21147,20396,194,557
978,Franklin County,IA,9639,9364,65,210
979,Franklin County,ID,12258,11892,69,297
980,Franklin County,IL,36852,36497,196,159
981,Franklin County,IN,21538,21419,47,72
982,Franklin County,KS,24056,23658,193,205
983,Franklin County,KY,47512,45552,800,1160
984,Franklin County,MA,67779,63919,1956,1904
985,Franklin County,ME,28611,28234,197,180
986,Franklin County,MO,96577,95009,1085,483
987,Franklin County,MS,7325,7296,17,12
988,Franklin County,NC,61267,57686,1197,2384
989,Franklin County,NE,2862,2821,11,30
990,Franklin County,NY,48229,45970,1395,864
991,Franklin County,OH,1183796,1049988,60499,73309
992,Franklin County,PA,144344,139069,2177,3098
993,Franklin County,TN,39455,38408,468,579
994,Franklin County,TX,10092,9435,112,545
995,Franklin County,VA,53558,52420,444,694
996,Franklin County,VT,46113,44754,789,570
997,Franklin County,WA,82308,61828,5353,15127
998,Franklin Parish,LA,18907,18828,19,60
999,Franklin city,VA,7720,7632,47,41
1000,Frederick County,MD,233844,207541,13589,12714
1001,Frederick County,VA,80029,74781,2079,3169
1002,Fredericksburg city,VA,26423,24034,1015,1374
1003,Freeborn County,MN,28775,27192,467,1116
1004,Freestone County,TX,18556,17231,388,937
1005,Fremont County,CO,45140,43808,632,700
1006,Fremont County,IA,6573,6418,94,61
1007,Fremont County,ID,12133,11480,163,490
1008,Fremont County,WY,37224,36729,286,209
1009,Fresno County,CA,899494,691927,82318,125249
1010,Frio County,TX,18228,15265,689,2274
1011,Frontier County,NE,2490,2465,10,15
1012,Fulton County,AR,11562,11412,65,85
1013,Fulton County,GA,959630,830997,53026,75607
1014,Fulton County,IL,33695,33068,156,471
1015,Fulton County,IN,19039,18389,240,410
1016,Fulton County,KY,5801,5753,7,41
1017,Fulton County,NY,51066,50126,682,258
1018,Fulton County,OH,39815,39130,329,356
1019,Fulton County,PA,13783,13673,64,46
1020,Furnas County,NE,4511,4419,48,44
1021,Gadsden County,FL,43318,40878,693,1747
1022,Gage County,NE,20320,19972,174,174
1023,Gaines County,TX,18131,12447,2155,3529
1024,Galax city,VA,6381,5722,110,549
1025,Gallatin County,IL,4893,4854,39,0
1026,Gallatin County,KY,8173,7928,28,217
1027,Gallatin County,MT,98552,95032,1494,2026
1028,Gallia County,OH,28314,28070,101,143
1029,Galveston County,TX,305916,274023,13182,18711
1030,Garden County,NE,1777,1736,0,41
1031,Garfield County,CO,54522,45860,2045,6617
1032,Garfield County,MT,1038,1038,0,0
1033,Garfield County,NE,1880,1866,14,0
1034,Garfield County,OK,57570,53323,1595,2652
1035,Garfield County,UT,4719,4523,32,164
1036,Garfield County,WA,2086,2023,8,55
1037,Garland County,AR,93001,89601,1415,1985
1038,Garrard County,KY,16365,16143,72,150
1039,Garrett County,MD,27940,27629,226,85
1040,Garvin County,OK,25917,25027,241,649
1041,Garza County,TX,6019,3803,200,2016
1042,Gasconade County,MO,13988,13878,93,17
1043,Gaston County,NC,203667,191789,5028,6850
1044,Gates County,NC,11087,11021,43,23
1045,Geary County,KS,30633,28107,1587,939
1046,Geauga County,OH,89026,86591,1826,609
1047,Gem County,ID,16126,15612,132,382
1048,Genesee County,MI,384974,374512,6969,3493
1049,Genesee County,NY,55132,53982,626,524
1050,Geneva County,AL,25046,24640,172,234
1051,Gentry County,MO,6200,6130,20,50
1052,George County,MS,21868,21525,90,253
1053,Georgetown County,SC,58714,57122,772,820
1054,Gibson County,IN,31545,31069,155,321
1055,Gibson County,TN,46014,45447,252,315
1056,Gila County,AZ,50361,48395,876,1090
1057,Gilchrist County,FL,16764,16171,258,335
1058,Giles County,TN,27521,27004,127,390
1059,Giles County,VA,15933,15721,130,82
1060,Gillespie County,TX,24906,22153,1035,1718
1061,Gilliam County,OR,1822,1783,0,39
1062,Gilmer County,GA,28352,26292,450,1610
1063,Gilmer County,WV,7826,7555,42,229
1064,Gilpin County,CO,5678,5506,137,35
1065,Glacier County,MT,12461,12263,50,148
1066,Glades County,FL,12924,11621,380,923
1067,Gladwin County,MI,24025,23797,196,32
1068,Glascock County,GA,2875,2869,0,6
1069,Glasscock County,TX,1362,1032,64,266
1070,Glenn County,CA,25846,20592,1601,3653
1071,Gloucester County,NJ,275344,259920,10513,4911
1072,Gloucester County,VA,35210,34378,554,278
1073,Glynn County,GA,79003,74485,1870,2648
1074,Gogebic County,MI,14850,14640,123,87
1075,Golden Valley County,MT,709,698,11,0
1076,Golden Valley County,ND,1772,1762,10,0
1077,Goliad County,TX,7219,7022,67,130
1078,Gonzales County,TX,19160,16643,414,2103
1079,Goochland County,VA,21647,20802,601,244
1080,Goodhue County,MN,43594,42319,542,733
1081,Gooding County,ID,14145,12168,481,1496
1082,Gordon County,GA,53274,48041,1398,3835
1083,Goshen County,WY,12657,12380,160,117
1084,Gosper County,NE,1952,1930,22,0
1085,Gove County,KS,2478,2421,15,42
1086,Grady County,GA,23258,21827,147,1284
1087,Grady County,OK,51501,50335,564,602
1088,Grafton County,NH,86103,80870,2155,3078
1089,Graham County,AZ,35060,33709,430,921
1090,Graham County,KS,2421,2390,4,27
1091,Graham County,NC,8200,8117,29,54
1092,Grainger County,TN,21922,21396,143,383
1093,Grand County,CO,14503,13294,661,548
1094,Grand County,UT,9113,8277,183,653
1095,Grand Forks County,ND,65611,61866,1385,2360
1096,Grand Isle County,VT,6674,6381,237,56
1097,Grand Traverse County,MI,86857,84499,1112,1246
1098,Granite County,MT,3147,3113,9,25
1099,Grant County,AR,17113,16927,64,122
1100,Grant County,IN,63313,62276,756,281
1101,Grant County,KS,6993,5749,329,915
1102,Grant County,KY,23087,22834,212,41
1103,Grant County,MN,5579,5508,17,54
1104,Grant County,ND,2240,2223,12,5
1105,Grant County,NE,660,658,2,0
1106,Grant County,NM,26415,25369,643,403
1107,Grant County,OK,4164,4113,30,21
1108,Grant County,OR,6856,6672,149,35
1109,Grant County,SD,6843,6658,11,174
1110,Grant County,WA,87134,69263,4060,13811
1111,Grant County,WI,49026,48161,381,484
1112,Grant County,WV,11064,11050,14,0
1113,Grant Parish,LA,21071,20316,95,660
1114,Granville County,NC,55975,53322,1191,1462
1115,Gratiot County,MI,39041,38630,194,217
1116,Graves County,KY,34785,33572,397,816
1117,Gray County,KS,5615,4971,145,499
1118,Gray County,TX,21044,18759,819,1466
1119,Grays Harbor County,WA,67968,64411,1676,1881
1120,Grayson County,KY,24566,24263,149,154
1121,Grayson County,TX,120494,112417,2210,5867
1122,Grayson County,VA,15142,14804,116,222
1123,Greeley County,KS,1129,1027,47,55
1124,Greeley County,NE,2266,2235,20,11
1125,Green County,KY,10417,10321,22,74
1126,Green County,WI,34962,34140,373,449
1127,Green Lake County,WI,17702,17120,210,372
1128,Greenbrier County,WV,33517,33077,159,281
1129,Greene County,AL,7936,7928,5,3
1130,Greene County,AR,41728,41430,30,268
1131,Greene County,GA,16293,15490,273,530
1132,Greene County,IA,8499,8342,58,99
1133,Greene County,IL,12558,12484,33,41
1134,Greene County,IN,30582,30362,93,127
1135,Greene County,MO,270879,262334,4029,4516
1136,Greene County,MS,13072,12883,17,172
1137,Greene County,NC,19940,18340,306,1294
1138,Greene County,NY,45588,42714,2101,773
1139,Greene County,OH,156535,148487,4089,3959
1140,Greene County,PA,35205,34891,201,113
1141,Greene County,TN,65370,64569,261,540
1142,Greene County,VA,18300,17447,302,551
1143,Greenlee County,AZ,8807,8504,100,203
1144,Greensville County,VA,11142,10937,72,133
1145,Greenup County,KY,33860,33618,149,93
1146,Greenville County,SC,466752,426666,14784,25302
1147,Greenwood County,KS,5861,5806,32,23
1148,Greenwood County,SC,65885,63147,778,1960
1149,Greer County,OK,5627,5564,20,43
1150,Gregg County,TX,114172,102993,3389,7790
1151,Gregory County,SD,3943,3893,47,3
1152,Grenada County,MS,19920,19850,8,62
1153,Griggs County,ND,2115,2093,17,5
1154,Grimes County,TX,26096,23917,601,1578
1155,Grundy County,IA,11670,11541,104,25
1156,Grundy County,IL,47367,45466,1279,622
1157,Grundy County,MO,9329,9096,42,191
1158,Grundy County,TN,12573,12491,20,62
1159,Guadalupe County,NM,4162,4092,10,60
1160,Guadalupe County,TX,145227,134177,5789,5261
1161,Guayama Municipio,PR,39801,39544,100,157
1162,Guayanilla Municipio,PR,18079,18019,29,31
1163,Guaynabo Municipio,PR,85048,79506,3223,2319
1164,Guernsey County,OH,36923,36551,222,150
1165,Guilford County,NC,492386,439234,21782,31370
1166,Gulf County,FL,15274,14887,214,173
1167,Gunnison County,CO,15793,15060,322,411
1168,Gurabo Municipio,PR,44847,44232,179,436
1169,Guthrie County,IA,10111,10000,21,90
1170,Gwinnett County,GA,841232,613874,104342,123016
1171,Haakon County,SD,1986,1978,8,0
1172,Habersham County,GA,41635,37679,1386,2570
1173,Haines Borough,AK,2359,2197,81,81
1174,Hale County,AL,13916,13830,57,29
1175,Hale County,TX,31721,28314,949,2458
1176,Halifax County,NC,49015,47994,421,600
1177,Halifax County,VA,32958,32279,240,439
1178,Hall County,GA,182950,150607,8333,24010
1179,Hall County,NE,56682,48393,2306,5983
1180,Hall County,TX,2950,2650,62,238
1181,Hamblen County,TN,59864,56084,628,3152
1182,Hamilton County,FL,13600,13055,108,437
1183,Hamilton County,IA,14149,13617,267,265
1184,Hamilton County,IL,7755,7624,96,35
1185,Hamilton County,IN,294648,270107,12651,11890
1186,Hamilton County,KS,2403,1963,84,356
1187,Hamilton County,NE,8649,8548,85,16
1188,Hamilton County,NY,4428,4318,96,14
1189,Hamilton County,OH,758367,713657,20636,24074
1190,Hamilton County,TN,336828,319175,7231,10422
1191,Hamilton County,TX,7800,7442,136,222
1192,Hamlin County,SD,5446,5238,77,131
1193,Hampden County,MA,442690,402486,24234,15970
1194,Hampshire County,MA,155509,141932,6375,7202
1195,Hampshire County,WV,22329,22139,127,63
1196,Hampton County,SC,18708,18200,201,307
1197,Hampton city,VA,127277,120666,3752,2859
1198,Hancock County,GA,8243,8057,7,179
1199,Hancock County,IA,10316,10168,52,96
1200,Hancock County,IL,17148,16919,163,66
1201,Hancock County,IN,69666,68043,726,897
1202,Hancock County,KY,8150,8073,32,45
1203,Hancock County,ME,52158,50443,763,952
1204,Hancock County,MS,44006,43112,683,211
1205,Hancock County,OH,71088,68232,1351,1505
1206,Hancock County,TN,6250,6162,44,44
1207,Hancock County,WV,28226,27881,224,121
1208,Hand County,SD,3102,3098,4,0
1209,Hanover County,VA,99249,95435,2535,1279
1210,Hansford County,TX,5080,3723,327,1030
1211,Hanson County,SD,3115,3112,2,1
1212,Haralson County,GA,27212,26874,237,101
1213,Hardee County,FL,25463,22392,1242,1829
1214,Hardeman County,TN,24586,24254,140,192
1215,Hardeman County,TX,3756,3521,24,211
1216,Hardin County,IA,16279,15823,199,257
1217,Hardin County,IL,3878,3867,11,0
1218,Hardin County,KY,100838,96600,2518,1720
1219,Hardin County,OH,29591,29139,78,374
1220,Hardin County,TN,24453,24042,184,227
1221,Hardin County,TX,52640,51736,249,655
1222,Harding County,NM,438,432,6,0
1223,Harding County,SD,1241,1211,4,26
1224,Hardy County,WV,13075,12638,178,259
1225,Harford County,MD,236965,222941,9472,4552
1226,Harlan County,KY,25380,25199,111,70
1227,Harlan County,NE,3220,3169,17,34
1228,Harmon County,OK,2598,2426,78,94
1229,Harnett County,NC,120555,112767,3017,4771
1230,Harney County,OR,6856,6727,49,80
1231,Harper County,KS,5309,5218,26,65
1232,Harper County,OK,3572,3037,79,456
1233,Harris County,GA,32014,31245,533,236
1234,Harris County,TX,4249724,3060873,426582,762269
1235,Harrison County,IA,13335,13263,32,40
1236,Harrison County,IN,37443,36973,195,275
1237,Harrison County,KY,17661,17489,32,140
1238,Harrison County,MO,8025,7900,65,60
1239,Harrison County,MS,189013,179243,4857,4913
1240,Harrison County,OH,14490,14386,48,56
1241,Harrison County,TX,62291,58156,1304,2831
1242,Harrison County,WV,64257,63616,428,213
1243,Harrisonburg city,VA,50561,41529,2867,6165
1244,Hart County,GA,24235,23575,291,369
1245,Hart County,KY,17341,17174,72,95
1246,Hartford County,CT,846908,711034,76053,59821
1247,Hartley County,TX,5456,4886,167,403
1248,Harvey County,KS,32380,30883,548,949
1249,Haskell County,KS,3765,2965,254,546
1250,Haskell County,OK,11913,11729,57,127
1251,Haskell County,TX,5566,4852,80,634
