,COUNTYNAME,STATE,Total_POPULATION,TOTAL_NATIVE,TOTAL_FOREIGN_BORN_NATURALIZED_CITIZEN,TOTAL_FOREIGN_BORN_NOT_US_CITIZEN
141,Barnes County,ND,10300,10115,37,148
142,Barnstable County,MA,205806,189260,9367,7179
143,Barnwell County,SC,20185,19841,123,221
144,Barranquitas Municipio,PR,27078,26938,60,80
145,Barren County,KY,40901,40180,158,563
146,Barron County,WI,42767,41715,514,538
147,Barrow County,GA,71474,65689,2599,3186
148,Barry County,MI,56766,55854,397,515
149,Barry County,MO,33463,31655,549,1259
150,Bartholomew County,IN,76444,68123,1445,6876
151,Barton County,KS,25108,23503,348,1257
152,Barton County,MO,11168,11054,48,66
153,Bartow County,GA,96868,91113,1687,4068
154,Bastrop County,TX,77120,68130,2375,6615
155,Bates County,MO,15377,15246,97,34
156,Bath County,KY,11457,11337,24,96
157,Bath County,VA,4226,4148,14,64
158,Baxter County,AR,39498,38763,569,166
159,Bay County,FL,171093,160642,5453,4998
160,Bay County,MI,99605,98075,916,614
161,Bayfield County,WI,14387,14106,157,124
162,Baylor County,TX,3413,3360,45,8
163,Beadle County,SD,16975,14708,498,1769
164,Bear Lake County,ID,5524,5315,150,59
165,Beaufort County,NC,44951,43550,461,940
166,Beaufort County,SC,172692,157638,6195,8859
167,Beauregard Parish,LA,34337,33407,368,562
168,Beaver County,OK,5114,4605,122,387
169,Beaver County,PA,158345,155426,2114,805
170,Beaver County,UT,5876,5479,108,289
171,Beaverhead County,MT,8916,8604,100,212
172,Becker County,MN,31597,31075,228,294
173,Beckham County,OK,20867,20035,442,390
174,Bedford County,PA,46187,45859,148,180
175,Bedford County,TN,44387,41357,713,2317
176,Bedford County,VA,74232,72032,1090,1110
177,Bee County,TX,30767,29689,391,687
178,Belknap County,NH,57985,56486,1026,473
179,Bell County,KY,25520,25405,48,67
180,Bell County,TX,312597,284516,14433,13648
181,Belmont County,OH,65088,64285,453,350
182,Beltrami County,MN,42698,41915,349,434
183,Ben Hill County,GA,16067,15529,164,374
184,Benewah County,ID,8565,8466,45,54
185,Bennett County,SD,3167,3149,7,11
186,Bennington County,VT,34274,33120,547,607
187,Benson County,ND,6154,6118,23,13
188,Bent County,CO,5600,5327,55,218
189,Benton County,AR,240601,211423,8694,20484
190,Benton County,IA,24108,23924,90,94
191,Benton County,IN,8114,7969,64,81
192,Benton County,MN,36839,35252,706,881
193,Benton County,MO,18205,18063,89,53
194,Benton County,MS,7958,7834,57,67
195,Benton County,OR,86116,76874,2841,6401
196,Benton County,TN,15371,15190,129,52
197,Benton County,WA,180211,159863,7802,12546
198,Benzie County,MI,16718,16433,185,100
199,Bergen County,NJ,880617,596896,179870,103851
200,Berkeley County,SC,195293,184124,5255,5914
201,Berkeley County,WV,106435,102415,2216,1804
202,Berks County,PA,392370,361387,15107,15876
203,Berkshire County,MA,121910,113869,4517,3524
204,Bernalillo County,NM,638056,569464,28665,39927
205,Berrien County,GA,17889,17404,123,362
206,Berrien County,MI,145729,136788,3533,5408
207,Bertie County,NC,18800,18626,40,134
208,Bethel Census Area,AK,16177,15810,171,196
209,Bexar County,TX,1787243,1533221,104628,149394
210,Bibb County,AL,21252,20927,129,196
211,Bibb County,GA,142857,138036,2638,2183
212,Bienville Parish,LA,12828,12735,59,34
213,Big Horn County,MT,12205,12025,57,123
214,Big Horn County,WY,11155,10780,128,247
215,Big Stone County,MN,4732,4652,35,45
216,Billings County,ND,857,827,16,14
217,Bingham County,ID,41996,39162,1070,1764
218,Black Hawk County,IA,124537,117181,3130,4226
219,Blackford County,IN,11496,11305,96,95
220,Bladen County,NC,31983,30569,228,1186
221,Blaine County,ID,20834,17690,905,2239
222,Blaine County,MT,6166,6103,60,3
223,Blaine County,NE,452,452,0,0
224,Blaine County,OK,9081,8342,82,657
225,Blair County,PA,117261,115758,1167,336
226,Blanco County,TX,10818,10167,287,364
227,Bland County,VA,6199,6173,0,26
228,Bleckley County,GA,12073,11855,93,125
229,Bledsoe County,TN,13999,13624,48,327
230,Blount County,AL,54160,51656,876,1628
231,Blount County,TN,121986,118308,1397,2281
232,Blue Earth County,MN,62639,59692,1033,1914
233,Boise County,ID,6947,6778,98,71
234,Bolivar County,MS,30333,29841,140,352
235,Bollinger County,MO,11644,11587,42,15
236,Bon Homme County,SD,6630,6529,53,48
237,Bond County,IL,15942,15518,193,231
238,Bonner County,ID,40644,39675,555,414
239,Bonneville County,ID,102831,96553,3011,3267
240,Boone County,AR,35000,34640,227,133
241,Boone County,IA,24853,24509,194,150
242,Boone County,IL,50544,45058,2314,3172
243,Boone County,IN,60008,57586,1064,1358
244,Boone County,KY,120473,113707,2650,4116
245,Boone County,MO,166060,154426,4158,7476
246,Boone County,NE,4976,4941,15,20
247,Boone County,WV,21607,21527,66,14
248,Borden County,TX,575,551,24,0
249,Bosque County,TX,17152,16078,406,668
250,Bossier Parish,LA,117187,112282,2448,2457
251,Botetourt County,VA,31811,30873,608,330
252,Bottineau County,ND,6225,6054,98,73
253,Boulder County,CO,305960,271547,14872,19541
254,Boundary County,ID,10854,10363,235,256
255,Bourbon County,KS,13656,13397,224,35
256,Bourbon County,KY,18917,17945,187,785
257,Bowie County,TX,87798,83688,1362,2748
258,Bowman County,ND,2984,2961,8,15
259,Box Butte County,NE,10336,10119,72,145
260,Box Elder County,UT,48517,46735,883,899
261,Boyd County,KY,45299,44820,227,252
262,Boyd County,NE,1939,1908,11,20
263,Boyle County,KY,28385,27684,235,466
264,Bracken County,KY,7757,7674,13,70
265,Bradford County,FL,25561,24782,439,340
266,Bradford County,PA,57650,56789,562,299
267,Bradley County,AR,10266,9533,229,504
268,Bradley County,TN,98575,92515,1930,4130
269,Branch County,MI,40938,39565,616,757
270,Brantley County,GA,17455,17200,121,134
271,Braxton County,WV,13544,13532,0,12
272,Brazoria County,TX,328986,281681,24741,22564
273,Brazos County,TX,205647,176403,8239,21005
274,Breathitt County,KY,12296,12231,54,11
275,Breckinridge County,KY,18916,18781,67,68
276,Bremer County,IA,23382,22911,128,343
277,Brevard County,FL,549619,500120,31233,18266
278,Brewster County,TX,8729,8123,289,317
279,Briscoe County,TX,1464,1356,31,77
280,Bristol Bay Borough,AK,838,821,7,10
281,Bristol County,MA,529434,457542,46086,25806
282,Bristol County,RI,46927,42458,3047,1422
283,Bristol city,VA,15974,15820,70,84
284,Broadwater County,MT,5573,5517,26,30
285,Bronx County,NY,1331789,825874,249836,256079
286,Brooke County,WV,21754,21467,137,150
287,Brookings County,SD,32112,30022,408,1682
288,Brooks County,GA,14732,14131,132,469
289,Brooks County,TX,6679,5919,139,621
290,Broome County,NY,184203,170957,7218,6028
291,Broomfield County,CO,62386,56349,3043,2994
292,Broward County,FL,1797580,1158712,379789,259079
293,Brown County,IL,6400,6193,93,114
294,Brown County,IN,14466,14207,198,61
295,Brown County,KS,9009,8915,38,56
296,Brown County,MN,23819,23326,242,251
297,Brown County,NE,2851,2786,10,55
298,Brown County,OH,41165,40935,88,142
299,Brown County,SD,36367,34926,502,939
300,Brown County,TX,35781,33937,658,1186
301,Brown County,WI,242760,227591,5253,9916
302,Brule County,SD,4923,4860,26,37
303,Brunswick County,NC,121555,116509,2505,2541
304,Brunswick County,VA,15935,15599,53,283
305,Bryan County,GA,33300,31648,889,763
306,Bryan County,OK,42770,41741,361,668
307,Buchanan County,IA,19691,19493,129,69
308,Buchanan County,MO,83358,79848,1157,2353
309,Buchanan County,VA,21233,20824,168,241
310,Buckingham County,VA,16238,15950,177,111
311,Bucks County,PA,595981,539749,36348,19884
312,Buena Vista County,IA,18777,15053,1152,2572
313,Buena Vista city,VA,6162,6117,20,25
314,Buffalo County,NE,45630,43377,865,1388
315,Buffalo County,SD,1820,1820,0,0
316,Buffalo County,WI,12460,12246,77,137
317,Bullitt County,KY,75259,74341,728,190
318,Bulloch County,GA,70547,68247,865,1435
319,Bullock County,AL,9756,9660,96,0
320,Buncombe County,NC,241606,227156,6462,7988
321,Bureau County,IL,31640,30398,500,742
322,Burke County,GA,20904,20452,167,285
323,Burke County,NC,85438,81555,1750,2133
324,Burke County,ND,1993,1933,34,26
325,Burleigh County,ND,87314,85318,859,1137
326,Burleson County,TX,16771,15591,453,727
327,Burlington County,NJ,423139,380179,27632,15328
328,Burnet County,TX,43327,40360,1380,1587
329,Burnett County,WI,14610,14442,113,55
330,Burt County,NE,6193,6093,29,71
331,Butler County,AL,18820,18545,139,136
332,Butler County,IA,13959,13796,81,82
333,Butler County,KS,62488,60724,813,951
334,Butler County,KY,11988,11772,28,188
335,Butler County,MO,40119,39667,182,270
336,Butler County,NE,7573,7397,98,78
337,Butler County,OH,355011,333361,10558,11092
338,Butler County,PA,176960,172508,2527,1925
339,Butte County,CA,214552,197440,9153,7959
340,Butte County,ID,2513,2488,16,9
341,Butte County,SD,9552,9476,40,36
342,Butts County,GA,22387,21667,432,288
343,Cabarrus County,NC,188512,172657,6092,9763
344,Cabell County,WV,89908,88448,735,725
345,Cabo Rojo Municipio,PR,47048,46775,124,149
346,Cache County,UT,111421,103005,2904,5512
347,Caddo County,OK,27282,25828,237,1217
348,Caddo Parish,LA,231116,225480,2551,3085
349,Caguas Municipio,PR,125528,123343,1118,1067
350,Calaveras County,CA,43299,40733,1212,1354
351,Calcasieu Parish,LA,186107,180518,2499,3090
352,Caldwell County,KY,12032,11962,70,0
353,Caldwell County,MO,8502,8390,33,79
354,Caldwell County,NC,77642,74864,898,1880
355,Caldwell County,TX,38824,34548,1229,3047
356,Caldwell Parish,LA,9381,9135,33,213
357,Caledonia County,VT,28994,28332,341,321
358,Calhoun County,AL,108536,105477,1497,1562
359,Calhoun County,AR,4897,4867,25,5
360,Calhoun County,FL,13788,13275,235,278
361,Calhoun County,GA,6222,5951,60,211
362,Calhoun County,IA,9220,9132,48,40
363,Calhoun County,IL,4604,4567,21,16
364,Calhoun County,MI,126085,121135,1845,3105
365,Calhoun County,MS,13702,13275,118,309
366,Calhoun County,SC,14005,13669,135,201
367,Calhoun County,TX,20319,17769,847,1703
368,Calhoun County,WV,7038,6968,24,46
369,Callahan County,TX,13037,12852,77,108
370,Callaway County,MO,42389,41559,410,420
371,Calloway County,KY,36785,34890,585,1310
372,Calumet County,WI,47029,45792,920,317
373,Calvert County,MD,86222,83573,1714,935
374,Camas County,ID,823,808,6,9
