,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
5913,St. Mary Parish,LA,EDUCATION_NO_DIPLOMA,11.9
5914,St. Mary's County,MD,EDUCATION_NO_DIPLOMA,6.8
5915,St. Tammany Parish,LA,EDUCATION_NO_DIPLOMA,6.8
5916,Stafford County,KS,EDUCATION_NO_DIPLOMA,5.3
5917,Stafford County,VA,EDUCATION_NO_DIPLOMA,4.3
5918,Stanislaus County,CA,EDUCATION_NO_DIPLOMA,10.1
5919,Stanley County,SD,EDUCATION_NO_DIPLOMA,3.5
5920,Stanly County,NC,EDUCATION_NO_DIPLOMA,10.6
5921,Stanton County,KS,EDUCATION_NO_DIPLOMA,8.5
5922,Stanton County,NE,EDUCATION_NO_DIPLOMA,3.3
5923,Stark County,IL,EDUCATION_NO_DIPLOMA,6.4
5924,Stark County,ND,EDUCATION_NO_DIPLOMA,4.7
5925,Stark County,OH,EDUCATION_NO_DIPLOMA,6.4
5926,Starke County,IN,EDUCATION_NO_DIPLOMA,11.0
5927,Starr County,TX,EDUCATION_NO_DIPLOMA,19.1
5928,Staunton city,VA,EDUCATION_NO_DIPLOMA,7.2
5929,Ste. Genevieve County,MO,EDUCATION_NO_DIPLOMA,7.7
5930,Stearns County,MN,EDUCATION_NO_DIPLOMA,3.8
5931,Steele County,MN,EDUCATION_NO_DIPLOMA,5.4
5932,Steele County,ND,EDUCATION_NO_DIPLOMA,1.5
5933,Stephens County,GA,EDUCATION_NO_DIPLOMA,11.5
5934,Stephens County,OK,EDUCATION_NO_DIPLOMA,9.1
5935,Stephens County,TX,EDUCATION_NO_DIPLOMA,16.4
5936,Stephenson County,IL,EDUCATION_NO_DIPLOMA,4.9
5937,Sterling County,TX,EDUCATION_NO_DIPLOMA,7.4
5938,Steuben County,IN,EDUCATION_NO_DIPLOMA,6.7
5939,Steuben County,NY,EDUCATION_NO_DIPLOMA,6.9
5940,Stevens County,KS,EDUCATION_NO_DIPLOMA,8.6
5941,Stevens County,MN,EDUCATION_NO_DIPLOMA,3.5
5942,Stevens County,WA,EDUCATION_NO_DIPLOMA,7.2
5943,Stewart County,GA,EDUCATION_NO_DIPLOMA,15.6
5944,Stewart County,TN,EDUCATION_NO_DIPLOMA,10.4
5945,Stillwater County,MT,EDUCATION_NO_DIPLOMA,3.7
5946,Stoddard County,MO,EDUCATION_NO_DIPLOMA,12.3
5947,Stokes County,NC,EDUCATION_NO_DIPLOMA,11.7
5948,Stone County,AR,EDUCATION_NO_DIPLOMA,11.0
5949,Stone County,MO,EDUCATION_NO_DIPLOMA,10.6
5950,Stone County,MS,EDUCATION_NO_DIPLOMA,14.2
5951,Stonewall County,TX,EDUCATION_NO_DIPLOMA,7.4
5952,Storey County,NV,EDUCATION_NO_DIPLOMA,4.6
5953,Story County,IA,EDUCATION_NO_DIPLOMA,2.1
5954,Strafford County,NH,EDUCATION_NO_DIPLOMA,5.5
5955,Stutsman County,ND,EDUCATION_NO_DIPLOMA,5.4
5956,Sublette County,WY,EDUCATION_NO_DIPLOMA,2.1
5957,Suffolk County,MA,EDUCATION_NO_DIPLOMA,6.1
5958,Suffolk County,NY,EDUCATION_NO_DIPLOMA,5.1
5959,Suffolk city,VA,EDUCATION_NO_DIPLOMA,7.5
5960,Sullivan County,IN,EDUCATION_NO_DIPLOMA,8.0
5961,Sullivan County,MO,EDUCATION_NO_DIPLOMA,8.4
5962,Sullivan County,NH,EDUCATION_NO_DIPLOMA,6.7
5963,Sullivan County,NY,EDUCATION_NO_DIPLOMA,9.2
5964,Sullivan County,PA,EDUCATION_NO_DIPLOMA,7.1
5965,Sullivan County,TN,EDUCATION_NO_DIPLOMA,8.5
5966,Sully County,SD,EDUCATION_NO_DIPLOMA,3.3
5967,Summers County,WV,EDUCATION_NO_DIPLOMA,8.0
5968,Summit County,CO,EDUCATION_NO_DIPLOMA,3.6
5969,Summit County,OH,EDUCATION_NO_DIPLOMA,6.1
5970,Summit County,UT,EDUCATION_NO_DIPLOMA,2.6
5971,Sumner County,KS,EDUCATION_NO_DIPLOMA,5.9
5972,Sumner County,TN,EDUCATION_NO_DIPLOMA,6.4
5973,Sumter County,AL,EDUCATION_NO_DIPLOMA,11.8
5974,Sumter County,FL,EDUCATION_NO_DIPLOMA,5.9
5975,Sumter County,GA,EDUCATION_NO_DIPLOMA,12.3
5976,Sumter County,SC,EDUCATION_NO_DIPLOMA,11.2
5977,Sunflower County,MS,EDUCATION_NO_DIPLOMA,18.4
5978,Surry County,NC,EDUCATION_NO_DIPLOMA,12.9
5979,Surry County,VA,EDUCATION_NO_DIPLOMA,8.2
5980,Susquehanna County,PA,EDUCATION_NO_DIPLOMA,8.5
5981,Sussex County,DE,EDUCATION_NO_DIPLOMA,8.2
5982,Sussex County,NJ,EDUCATION_NO_DIPLOMA,3.7
5983,Sussex County,VA,EDUCATION_NO_DIPLOMA,15.3
5984,Sutter County,CA,EDUCATION_NO_DIPLOMA,9.3
5985,Sutton County,TX,EDUCATION_NO_DIPLOMA,9.6
5986,Suwannee County,FL,EDUCATION_NO_DIPLOMA,13.1
5987,Swain County,NC,EDUCATION_NO_DIPLOMA,14.8
5988,Sweet Grass County,MT,EDUCATION_NO_DIPLOMA,4.1
5989,Sweetwater County,WY,EDUCATION_NO_DIPLOMA,6.8
5990,Swift County,MN,EDUCATION_NO_DIPLOMA,7.0
5991,Swisher County,TX,EDUCATION_NO_DIPLOMA,17.0
5992,Switzerland County,IN,EDUCATION_NO_DIPLOMA,12.3
5993,Talbot County,GA,EDUCATION_NO_DIPLOMA,14.9
5994,Talbot County,MD,EDUCATION_NO_DIPLOMA,6.4
5995,Taliaferro County,GA,EDUCATION_NO_DIPLOMA,16.0
5996,Talladega County,AL,EDUCATION_NO_DIPLOMA,13.1
5997,Tallahatchie County,MS,EDUCATION_NO_DIPLOMA,22.6
5998,Tallapoosa County,AL,EDUCATION_NO_DIPLOMA,14.2
5999,Tama County,IA,EDUCATION_NO_DIPLOMA,4.8
6000,Taney County,MO,EDUCATION_NO_DIPLOMA,8.9
6001,Tangipahoa Parish,LA,EDUCATION_NO_DIPLOMA,12.5
6002,Taos County,NM,EDUCATION_NO_DIPLOMA,7.0
6003,Tarrant County,TX,EDUCATION_NO_DIPLOMA,7.6
6004,Tate County,MS,EDUCATION_NO_DIPLOMA,12.9
6005,Tattnall County,GA,EDUCATION_NO_DIPLOMA,17.0
6006,Taylor County,FL,EDUCATION_NO_DIPLOMA,17.0
6007,Taylor County,GA,EDUCATION_NO_DIPLOMA,14.3
6008,Taylor County,IA,EDUCATION_NO_DIPLOMA,5.8
6009,Taylor County,KY,EDUCATION_NO_DIPLOMA,8.8
6010,Taylor County,TX,EDUCATION_NO_DIPLOMA,6.8
6011,Taylor County,WI,EDUCATION_NO_DIPLOMA,6.9
6012,Taylor County,WV,EDUCATION_NO_DIPLOMA,7.4
6013,Tazewell County,IL,EDUCATION_NO_DIPLOMA,5.3
6014,Tazewell County,VA,EDUCATION_NO_DIPLOMA,10.2
6015,Tehama County,CA,EDUCATION_NO_DIPLOMA,8.5
6016,Telfair County,GA,EDUCATION_NO_DIPLOMA,17.0
6017,Teller County,CO,EDUCATION_NO_DIPLOMA,3.8
6018,Tensas Parish,LA,EDUCATION_NO_DIPLOMA,17.1
6019,Terrebonne Parish,LA,EDUCATION_NO_DIPLOMA,12.0
6020,Terrell County,GA,EDUCATION_NO_DIPLOMA,16.2
6021,Terrell County,TX,EDUCATION_NO_DIPLOMA,5.7
6022,Terry County,TX,EDUCATION_NO_DIPLOMA,13.9
6023,Teton County,ID,EDUCATION_NO_DIPLOMA,3.7
6024,Teton County,MT,EDUCATION_NO_DIPLOMA,4.5
6025,Teton County,WY,EDUCATION_NO_DIPLOMA,2.9
6026,Texas County,MO,EDUCATION_NO_DIPLOMA,12.7
6027,Texas County,OK,EDUCATION_NO_DIPLOMA,10.5
6028,Thayer County,NE,EDUCATION_NO_DIPLOMA,4.9
6029,Thomas County,GA,EDUCATION_NO_DIPLOMA,12.5
6030,Thomas County,KS,EDUCATION_NO_DIPLOMA,3.1
6031,Thomas County,NE,EDUCATION_NO_DIPLOMA,6.6
6032,Throckmorton County,TX,EDUCATION_NO_DIPLOMA,8.1
6033,Thurston County,NE,EDUCATION_NO_DIPLOMA,8.9
6034,Thurston County,WA,EDUCATION_NO_DIPLOMA,4.0
6035,Tift County,GA,EDUCATION_NO_DIPLOMA,13.1
6036,Tillamook County,OR,EDUCATION_NO_DIPLOMA,6.4
6037,Tillman County,OK,EDUCATION_NO_DIPLOMA,11.6
6038,Tioga County,NY,EDUCATION_NO_DIPLOMA,7.2
6039,Tioga County,PA,EDUCATION_NO_DIPLOMA,7.9
6040,Tippah County,MS,EDUCATION_NO_DIPLOMA,12.6
6041,Tippecanoe County,IN,EDUCATION_NO_DIPLOMA,5.6
6042,Tipton County,IN,EDUCATION_NO_DIPLOMA,8.1
6043,Tipton County,TN,EDUCATION_NO_DIPLOMA,9.1
6044,Tishomingo County,MS,EDUCATION_NO_DIPLOMA,13.3
6045,Titus County,TX,EDUCATION_NO_DIPLOMA,11.3
6046,Toa Alta Municipio,PR,EDUCATION_NO_DIPLOMA,6.7
6047,Toa Baja Municipio,PR,EDUCATION_NO_DIPLOMA,8.2
6048,Todd County,KY,EDUCATION_NO_DIPLOMA,9.2
6049,Todd County,MN,EDUCATION_NO_DIPLOMA,7.0
6050,Todd County,SD,EDUCATION_NO_DIPLOMA,18.8
6051,Tolland County,CT,EDUCATION_NO_DIPLOMA,3.8
6052,Tom Green County,TX,EDUCATION_NO_DIPLOMA,8.3
6053,Tompkins County,NY,EDUCATION_NO_DIPLOMA,4.1
6054,Tooele County,UT,EDUCATION_NO_DIPLOMA,6.7
6055,Toole County,MT,EDUCATION_NO_DIPLOMA,7.9
6056,Toombs County,GA,EDUCATION_NO_DIPLOMA,11.4
6057,Torrance County,NM,EDUCATION_NO_DIPLOMA,10.6
6058,Towner County,ND,EDUCATION_NO_DIPLOMA,5.8
6059,Towns County,GA,EDUCATION_NO_DIPLOMA,6.3
6060,Traill County,ND,EDUCATION_NO_DIPLOMA,4.3
6061,Transylvania County,NC,EDUCATION_NO_DIPLOMA,8.0
6062,Traverse County,MN,EDUCATION_NO_DIPLOMA,3.9
6063,Travis County,TX,EDUCATION_NO_DIPLOMA,5.0
6064,Treasure County,MT,EDUCATION_NO_DIPLOMA,2.8
6065,Trego County,KS,EDUCATION_NO_DIPLOMA,4.9
6066,Trempealeau County,WI,EDUCATION_NO_DIPLOMA,6.1
6067,Treutlen County,GA,EDUCATION_NO_DIPLOMA,17.5
6068,Trigg County,KY,EDUCATION_NO_DIPLOMA,7.9
6069,Trimble County,KY,EDUCATION_NO_DIPLOMA,12.6
6070,Trinity County,CA,EDUCATION_NO_DIPLOMA,7.9
6071,Trinity County,TX,EDUCATION_NO_DIPLOMA,10.6
6072,Tripp County,SD,EDUCATION_NO_DIPLOMA,5.8
6073,Troup County,GA,EDUCATION_NO_DIPLOMA,11.6
6074,Trousdale County,TN,EDUCATION_NO_DIPLOMA,12.6
6075,Trujillo Alto Municipio,PR,EDUCATION_NO_DIPLOMA,5.5
6076,Trumbull County,OH,EDUCATION_NO_DIPLOMA,7.8
6077,Tucker County,WV,EDUCATION_NO_DIPLOMA,8.1
6078,Tulare County,CA,EDUCATION_NO_DIPLOMA,11.3
6079,Tulsa County,OK,EDUCATION_NO_DIPLOMA,6.6
6080,Tunica County,MS,EDUCATION_NO_DIPLOMA,13.0
6081,Tuolumne County,CA,EDUCATION_NO_DIPLOMA,7.7
6082,Turner County,GA,EDUCATION_NO_DIPLOMA,13.2
6083,Turner County,SD,EDUCATION_NO_DIPLOMA,3.6
6084,Tuscaloosa County,AL,EDUCATION_NO_DIPLOMA,8.4
6085,Tuscarawas County,OH,EDUCATION_NO_DIPLOMA,8.5
6086,Tuscola County,MI,EDUCATION_NO_DIPLOMA,7.9
6087,Twiggs County,GA,EDUCATION_NO_DIPLOMA,21.3
6088,Twin Falls County,ID,EDUCATION_NO_DIPLOMA,7.3
6089,Tyler County,TX,EDUCATION_NO_DIPLOMA,11.8
6090,Tyler County,WV,EDUCATION_NO_DIPLOMA,7.4
6091,Tyrrell County,NC,EDUCATION_NO_DIPLOMA,20.2
6092,Uinta County,WY,EDUCATION_NO_DIPLOMA,5.0
6093,Uintah County,UT,EDUCATION_NO_DIPLOMA,10.9
6094,Ulster County,NY,EDUCATION_NO_DIPLOMA,6.3
6095,Umatilla County,OR,EDUCATION_NO_DIPLOMA,9.1
6096,Unicoi County,TN,EDUCATION_NO_DIPLOMA,8.9
6097,Union County,AR,EDUCATION_NO_DIPLOMA,10.9
6098,Union County,FL,EDUCATION_NO_DIPLOMA,18.0
6099,Union County,GA,EDUCATION_NO_DIPLOMA,8.2
6100,Union County,IA,EDUCATION_NO_DIPLOMA,6.5
6101,Union County,IL,EDUCATION_NO_DIPLOMA,6.6
6102,Union County,IN,EDUCATION_NO_DIPLOMA,8.7
6103,Union County,KY,EDUCATION_NO_DIPLOMA,8.7
6104,Union County,MS,EDUCATION_NO_DIPLOMA,15.1
6105,Union County,NC,EDUCATION_NO_DIPLOMA,6.3
6106,Union County,NJ,EDUCATION_NO_DIPLOMA,6.1
6107,Union County,NM,EDUCATION_NO_DIPLOMA,12.2
6108,Union County,OH,EDUCATION_NO_DIPLOMA,5.8
6109,Union County,OR,EDUCATION_NO_DIPLOMA,5.3
6110,Union County,PA,EDUCATION_NO_DIPLOMA,8.3
6111,Union County,SC,EDUCATION_NO_DIPLOMA,12.5
6112,Union County,SD,EDUCATION_NO_DIPLOMA,5.9
6113,Union County,TN,EDUCATION_NO_DIPLOMA,12.8
6114,Union Parish,LA,EDUCATION_NO_DIPLOMA,9.5
6115,Upshur County,TX,EDUCATION_NO_DIPLOMA,10.3
6116,Upshur County,WV,EDUCATION_NO_DIPLOMA,11.0
6117,Upson County,GA,EDUCATION_NO_DIPLOMA,14.5
6118,Upton County,TX,EDUCATION_NO_DIPLOMA,10.4
6119,Utah County,UT,EDUCATION_NO_DIPLOMA,3.8
6120,Utuado Municipio,PR,EDUCATION_NO_DIPLOMA,8.4
6121,Uvalde County,TX,EDUCATION_NO_DIPLOMA,12.8
6122,Val Verde County,TX,EDUCATION_NO_DIPLOMA,11.4
6123,Valdez-Cordova Census Area,AK,EDUCATION_NO_DIPLOMA,2.9
6124,Valencia County,NM,EDUCATION_NO_DIPLOMA,11.1
6125,Valley County,ID,EDUCATION_NO_DIPLOMA,4.5
6126,Valley County,MT,EDUCATION_NO_DIPLOMA,4.6
6127,Valley County,NE,EDUCATION_NO_DIPLOMA,4.7
6128,Van Buren County,AR,EDUCATION_NO_DIPLOMA,10.0
6129,Van Buren County,IA,EDUCATION_NO_DIPLOMA,4.5
6130,Van Buren County,MI,EDUCATION_NO_DIPLOMA,8.0
6131,Van Buren County,TN,EDUCATION_NO_DIPLOMA,9.3
6132,Van Wert County,OH,EDUCATION_NO_DIPLOMA,7.2
6133,Van Zandt County,TX,EDUCATION_NO_DIPLOMA,10.6
6134,Vance County,NC,EDUCATION_NO_DIPLOMA,14.2
6135,Vanderburgh County,IN,EDUCATION_NO_DIPLOMA,7.8
6136,Vega Alta Municipio,PR,EDUCATION_NO_DIPLOMA,10.6
6137,Vega Baja Municipio,PR,EDUCATION_NO_DIPLOMA,13.9
6138,Venango County,PA,EDUCATION_NO_DIPLOMA,6.9
6139,Ventura County,CA,EDUCATION_NO_DIPLOMA,6.0
6140,Vermilion County,IL,EDUCATION_NO_DIPLOMA,8.6
6141,Vermilion Parish,LA,EDUCATION_NO_DIPLOMA,13.4
6142,Vermillion County,IN,EDUCATION_NO_DIPLOMA,6.9
6143,Vernon County,MO,EDUCATION_NO_DIPLOMA,7.2
6144,Vernon County,WI,EDUCATION_NO_DIPLOMA,5.2
6145,Vernon Parish,LA,EDUCATION_NO_DIPLOMA,9.0
6146,Victoria County,TX,EDUCATION_NO_DIPLOMA,9.7
6147,Vieques Municipio,PR,EDUCATION_NO_DIPLOMA,7.6
6148,Vigo County,IN,EDUCATION_NO_DIPLOMA,9.0
6149,Vilas County,WI,EDUCATION_NO_DIPLOMA,5.6
6150,Villalba Municipio,PR,EDUCATION_NO_DIPLOMA,7.4
6151,Vinton County,OH,EDUCATION_NO_DIPLOMA,14.3
6152,Virginia Beach city,VA,EDUCATION_NO_DIPLOMA,4.8
6153,Volusia County,FL,EDUCATION_NO_DIPLOMA,7.2
6154,Wabash County,IL,EDUCATION_NO_DIPLOMA,7.1
6155,Wabash County,IN,EDUCATION_NO_DIPLOMA,8.6
6156,Wabasha County,MN,EDUCATION_NO_DIPLOMA,4.7
6157,Wabaunsee County,KS,EDUCATION_NO_DIPLOMA,3.7
6158,Wadena County,MN,EDUCATION_NO_DIPLOMA,6.3
6159,Wagoner County,OK,EDUCATION_NO_DIPLOMA,7.0
6160,Wahkiakum County,WA,EDUCATION_NO_DIPLOMA,5.9
6161,Wake County,NC,EDUCATION_NO_DIPLOMA,4.0
6162,Wakulla County,FL,EDUCATION_NO_DIPLOMA,9.5
6163,Waldo County,ME,EDUCATION_NO_DIPLOMA,5.4
6164,Walker County,AL,EDUCATION_NO_DIPLOMA,11.9
6165,Walker County,GA,EDUCATION_NO_DIPLOMA,12.7
6166,Walker County,TX,EDUCATION_NO_DIPLOMA,8.4
6167,Walla Walla County,WA,EDUCATION_NO_DIPLOMA,6.1
6168,Wallace County,KS,EDUCATION_NO_DIPLOMA,0.8
6169,Waller County,TX,EDUCATION_NO_DIPLOMA,9.6
6170,Wallowa County,OR,EDUCATION_NO_DIPLOMA,5.1
6171,Walsh County,ND,EDUCATION_NO_DIPLOMA,7.7
6172,Walthall County,MS,EDUCATION_NO_DIPLOMA,12.3
6173,Walton County,FL,EDUCATION_NO_DIPLOMA,8.7
6174,Walton County,GA,EDUCATION_NO_DIPLOMA,9.8
6175,Walworth County,SD,EDUCATION_NO_DIPLOMA,6.6
6176,Walworth County,WI,EDUCATION_NO_DIPLOMA,6.1
6177,Wapello County,IA,EDUCATION_NO_DIPLOMA,7.3
6178,Ward County,ND,EDUCATION_NO_DIPLOMA,3.7
6179,Ward County,TX,EDUCATION_NO_DIPLOMA,9.8
6180,Ware County,GA,EDUCATION_NO_DIPLOMA,12.5
6181,Warren County,GA,EDUCATION_NO_DIPLOMA,16.6
6182,Warren County,IA,EDUCATION_NO_DIPLOMA,3.3
6183,Warren County,IL,EDUCATION_NO_DIPLOMA,7.8
6184,Warren County,IN,EDUCATION_NO_DIPLOMA,6.0
6185,Warren County,KY,EDUCATION_NO_DIPLOMA,6.7
6186,Warren County,MO,EDUCATION_NO_DIPLOMA,8.4
6187,Warren County,MS,EDUCATION_NO_DIPLOMA,8.7
6188,Warren County,NC,EDUCATION_NO_DIPLOMA,13.3
6189,Warren County,NJ,EDUCATION_NO_DIPLOMA,5.1
6190,Warren County,NY,EDUCATION_NO_DIPLOMA,5.8
6191,Warren County,OH,EDUCATION_NO_DIPLOMA,4.7
6192,Warren County,PA,EDUCATION_NO_DIPLOMA,5.8
6193,Warren County,TN,EDUCATION_NO_DIPLOMA,13.1
6194,Warren County,VA,EDUCATION_NO_DIPLOMA,10.7
6195,Warrick County,IN,EDUCATION_NO_DIPLOMA,5.2
6196,Wasatch County,UT,EDUCATION_NO_DIPLOMA,3.2
6197,Wasco County,OR,EDUCATION_NO_DIPLOMA,8.5
6198,Waseca County,MN,EDUCATION_NO_DIPLOMA,4.0
6199,Washakie County,WY,EDUCATION_NO_DIPLOMA,7.2
6200,Washburn County,WI,EDUCATION_NO_DIPLOMA,5.8
6201,Washington County,AL,EDUCATION_NO_DIPLOMA,13.3
6202,Washington County,AR,EDUCATION_NO_DIPLOMA,8.1
6203,Washington County,CO,EDUCATION_NO_DIPLOMA,5.7
6204,Washington County,FL,EDUCATION_NO_DIPLOMA,13.3
6205,Washington County,GA,EDUCATION_NO_DIPLOMA,13.6
6206,Washington County,IA,EDUCATION_NO_DIPLOMA,4.2
6207,Washington County,ID,EDUCATION_NO_DIPLOMA,7.7
6208,Washington County,IL,EDUCATION_NO_DIPLOMA,4.8
6209,Washington County,IN,EDUCATION_NO_DIPLOMA,9.8
6210,Washington County,KS,EDUCATION_NO_DIPLOMA,5.9
6211,Washington County,KY,EDUCATION_NO_DIPLOMA,8.3
6212,Washington County,MD,EDUCATION_NO_DIPLOMA,9.7
6213,Washington County,ME,EDUCATION_NO_DIPLOMA,7.0
6214,Washington County,MN,EDUCATION_NO_DIPLOMA,2.5
6215,Washington County,MO,EDUCATION_NO_DIPLOMA,15.9
6216,Washington County,MS,EDUCATION_NO_DIPLOMA,13.1
6217,Washington County,NC,EDUCATION_NO_DIPLOMA,10.7
6218,Washington County,NE,EDUCATION_NO_DIPLOMA,3.3
6219,Washington County,NY,EDUCATION_NO_DIPLOMA,8.0
6220,Washington County,OH,EDUCATION_NO_DIPLOMA,7.3
6221,Washington County,OK,EDUCATION_NO_DIPLOMA,7.2
6222,Washington County,OR,EDUCATION_NO_DIPLOMA,4.5
6223,Washington County,PA,EDUCATION_NO_DIPLOMA,5.0
6224,Washington County,RI,EDUCATION_NO_DIPLOMA,4.1
6225,Washington County,TN,EDUCATION_NO_DIPLOMA,7.4
6226,Washington County,TX,EDUCATION_NO_DIPLOMA,7.9
6227,Washington County,UT,EDUCATION_NO_DIPLOMA,4.9
6228,Washington County,VA,EDUCATION_NO_DIPLOMA,8.8
6229,Washington County,VT,EDUCATION_NO_DIPLOMA,5.0
6230,Washington County,WI,EDUCATION_NO_DIPLOMA,3.8
6231,Washington Parish,LA,EDUCATION_NO_DIPLOMA,15.1
6232,Washita County,OK,EDUCATION_NO_DIPLOMA,7.0
6233,Washoe County,NV,EDUCATION_NO_DIPLOMA,6.9
6234,Washtenaw County,MI,EDUCATION_NO_DIPLOMA,3.3
6235,Watauga County,NC,EDUCATION_NO_DIPLOMA,6.6
6236,Watonwan County,MN,EDUCATION_NO_DIPLOMA,6.9
6237,Waukesha County,WI,EDUCATION_NO_DIPLOMA,2.7
6238,Waupaca County,WI,EDUCATION_NO_DIPLOMA,6.0
6239,Waushara County,WI,EDUCATION_NO_DIPLOMA,9.1
6240,Wayne County,GA,EDUCATION_NO_DIPLOMA,11.6
6241,Wayne County,IA,EDUCATION_NO_DIPLOMA,4.3
6242,Wayne County,IL,EDUCATION_NO_DIPLOMA,6.5
6243,Wayne County,IN,EDUCATION_NO_DIPLOMA,8.9
6244,Wayne County,KY,EDUCATION_NO_DIPLOMA,12.7
6245,Wayne County,MI,EDUCATION_NO_DIPLOMA,9.6
6246,Wayne County,MO,EDUCATION_NO_DIPLOMA,16.4
6247,Wayne County,MS,EDUCATION_NO_DIPLOMA,13.4
6248,Wayne County,NC,EDUCATION_NO_DIPLOMA,9.1
6249,Wayne County,NE,EDUCATION_NO_DIPLOMA,3.3
6250,Wayne County,NY,EDUCATION_NO_DIPLOMA,7.1
6251,Wayne County,OH,EDUCATION_NO_DIPLOMA,6.9
6252,Wayne County,PA,EDUCATION_NO_DIPLOMA,7.5
6253,Wayne County,TN,EDUCATION_NO_DIPLOMA,12.5
6254,Wayne County,UT,EDUCATION_NO_DIPLOMA,10.8
6255,Wayne County,WV,EDUCATION_NO_DIPLOMA,12.4
6256,Waynesboro city,VA,EDUCATION_NO_DIPLOMA,9.6
6257,Weakley County,TN,EDUCATION_NO_DIPLOMA,9.5
6258,Webb County,TX,EDUCATION_NO_DIPLOMA,14.0
6259,Weber County,UT,EDUCATION_NO_DIPLOMA,6.3
6260,Webster County,GA,EDUCATION_NO_DIPLOMA,11.7
6261,Webster County,IA,EDUCATION_NO_DIPLOMA,6.6
6262,Webster County,KY,EDUCATION_NO_DIPLOMA,11.6
6263,Webster County,MO,EDUCATION_NO_DIPLOMA,7.6
6264,Webster County,MS,EDUCATION_NO_DIPLOMA,9.9
6265,Webster County,NE,EDUCATION_NO_DIPLOMA,5.6
6266,Webster County,WV,EDUCATION_NO_DIPLOMA,10.7
6267,Webster Parish,LA,EDUCATION_NO_DIPLOMA,13.0
6268,Weld County,CO,EDUCATION_NO_DIPLOMA,6.8
6269,Wells County,IN,EDUCATION_NO_DIPLOMA,6.7
6270,Wells County,ND,EDUCATION_NO_DIPLOMA,5.7
6271,West Baton Rouge Parish,LA,EDUCATION_NO_DIPLOMA,11.0
6272,West Carroll Parish,LA,EDUCATION_NO_DIPLOMA,14.7
6273,West Feliciana Parish,LA,EDUCATION_NO_DIPLOMA,12.2
6274,Westchester County,NY,EDUCATION_NO_DIPLOMA,5.8
6275,Westmoreland County,PA,EDUCATION_NO_DIPLOMA,4.2
6276,Westmoreland County,VA,EDUCATION_NO_DIPLOMA,8.7
6277,Weston County,WY,EDUCATION_NO_DIPLOMA,5.2
6278,Wetzel County,WV,EDUCATION_NO_DIPLOMA,9.9
6279,Wexford County,MI,EDUCATION_NO_DIPLOMA,7.8
6280,Wharton County,TX,EDUCATION_NO_DIPLOMA,11.1
6281,Whatcom County,WA,EDUCATION_NO_DIPLOMA,5.1
6282,Wheatland County,MT,EDUCATION_NO_DIPLOMA,7.3
6283,Wheeler County,GA,EDUCATION_NO_DIPLOMA,16.1
6284,Wheeler County,NE,EDUCATION_NO_DIPLOMA,3.6
6285,Wheeler County,OR,EDUCATION_NO_DIPLOMA,6.6
6286,Wheeler County,TX,EDUCATION_NO_DIPLOMA,11.6
6287,White County,AR,EDUCATION_NO_DIPLOMA,9.2
6288,White County,GA,EDUCATION_NO_DIPLOMA,12.1
6289,White County,IL,EDUCATION_NO_DIPLOMA,6.0
6290,White County,IN,EDUCATION_NO_DIPLOMA,7.1
6291,White County,TN,EDUCATION_NO_DIPLOMA,10.0
6292,White Pine County,NV,EDUCATION_NO_DIPLOMA,10.1
6293,Whiteside County,IL,EDUCATION_NO_DIPLOMA,5.8
6294,Whitfield County,GA,EDUCATION_NO_DIPLOMA,16.4
6295,Whitley County,IN,EDUCATION_NO_DIPLOMA,5.6
6296,Whitley County,KY,EDUCATION_NO_DIPLOMA,10.9
6297,Whitman County,WA,EDUCATION_NO_DIPLOMA,3.7
6298,Wibaux County,MT,EDUCATION_NO_DIPLOMA,5.8
6299,Wichita County,KS,EDUCATION_NO_DIPLOMA,7.4
6300,Wichita County,TX,EDUCATION_NO_DIPLOMA,8.4
6301,Wicomico County,MD,EDUCATION_NO_DIPLOMA,8.1
6302,Wilbarger County,TX,EDUCATION_NO_DIPLOMA,12.0
6303,Wilcox County,AL,EDUCATION_NO_DIPLOMA,16.5
6304,Wilcox County,GA,EDUCATION_NO_DIPLOMA,12.7
6305,Wilkes County,GA,EDUCATION_NO_DIPLOMA,11.2
6306,Wilkes County,NC,EDUCATION_NO_DIPLOMA,13.4
6307,Wilkin County,MN,EDUCATION_NO_DIPLOMA,3.7
6308,Wilkinson County,GA,EDUCATION_NO_DIPLOMA,11.2
6309,Wilkinson County,MS,EDUCATION_NO_DIPLOMA,16.0
6310,Will County,IL,EDUCATION_NO_DIPLOMA,4.9
6311,Willacy County,TX,EDUCATION_NO_DIPLOMA,12.8
6312,Williams County,ND,EDUCATION_NO_DIPLOMA,5.4
6313,Williams County,OH,EDUCATION_NO_DIPLOMA,8.2
6314,Williamsburg County,SC,EDUCATION_NO_DIPLOMA,12.2
6315,Williamsburg city,VA,EDUCATION_NO_DIPLOMA,3.4
6316,Williamson County,IL,EDUCATION_NO_DIPLOMA,5.9
6317,Williamson County,TN,EDUCATION_NO_DIPLOMA,2.6
6318,Williamson County,TX,EDUCATION_NO_DIPLOMA,3.6
6319,Wilson County,KS,EDUCATION_NO_DIPLOMA,8.9
6320,Wilson County,NC,EDUCATION_NO_DIPLOMA,12.2
6321,Wilson County,TN,EDUCATION_NO_DIPLOMA,5.9
