,COUNTYNAME,STATE,EDUCATION_LEVEL,PERCENT TOTAL
103,Atascosa County,TX,EDUCATION_LESS_9TH,11.3
104,Atchison County,KS,EDUCATION_LESS_9TH,2.1
105,Atchison County,MO,EDUCATION_LESS_9TH,3.1
106,Athens County,OH,EDUCATION_LESS_9TH,2.4
107,Atkinson County,GA,EDUCATION_LESS_9TH,15.0
108,Atlantic County,NJ,EDUCATION_LESS_9TH,5.1
109,Atoka County,OK,EDUCATION_LESS_9TH,4.6
110,Attala County,MS,EDUCATION_LESS_9TH,8.2
111,Audrain County,MO,EDUCATION_LESS_9TH,4.5
112,Audubon County,IA,EDUCATION_LESS_9TH,2.8
113,Auglaize County,OH,EDUCATION_LESS_9TH,1.4
114,Augusta County,VA,EDUCATION_LESS_9TH,4.0
115,Aurora County,SD,EDUCATION_LESS_9TH,10.0
116,Austin County,TX,EDUCATION_LESS_9TH,8.4
117,Autauga County,AL,EDUCATION_LESS_9TH,2.6
118,Avery County,NC,EDUCATION_LESS_9TH,6.4
119,Avoyelles Parish,LA,EDUCATION_LESS_9TH,8.2
120,Baca County,CO,EDUCATION_LESS_9TH,5.6
121,Bacon County,GA,EDUCATION_LESS_9TH,5.4
122,Bailey County,TX,EDUCATION_LESS_9TH,13.1
123,Baker County,FL,EDUCATION_LESS_9TH,3.7
124,Baker County,GA,EDUCATION_LESS_9TH,7.5
125,Baker County,OR,EDUCATION_LESS_9TH,2.0
126,Baldwin County,AL,EDUCATION_LESS_9TH,2.7
127,Baldwin County,GA,EDUCATION_LESS_9TH,4.3
128,Ballard County,KY,EDUCATION_LESS_9TH,4.4
129,Baltimore County,MD,EDUCATION_LESS_9TH,3.3
130,Baltimore city,MD,EDUCATION_LESS_9TH,4.6
131,Bamberg County,SC,EDUCATION_LESS_9TH,3.6
132,Bandera County,TX,EDUCATION_LESS_9TH,3.4
133,Banks County,GA,EDUCATION_LESS_9TH,7.3
134,Banner County,NE,EDUCATION_LESS_9TH,0.0
135,Bannock County,ID,EDUCATION_LESS_9TH,2.2
136,Baraga County,MI,EDUCATION_LESS_9TH,2.3
137,Barber County,KS,EDUCATION_LESS_9TH,1.6
138,Barbour County,AL,EDUCATION_LESS_9TH,8.2
139,Barbour County,WV,EDUCATION_LESS_9TH,3.5
140,Barceloneta Municipio,PR,EDUCATION_LESS_9TH,18.5
141,Barnes County,ND,EDUCATION_LESS_9TH,3.1
142,Barnstable County,MA,EDUCATION_LESS_9TH,1.4
143,Barnwell County,SC,EDUCATION_LESS_9TH,7.5
144,Barranquitas Municipio,PR,EDUCATION_LESS_9TH,17.9
145,Barren County,KY,EDUCATION_LESS_9TH,8.5
146,Barron County,WI,EDUCATION_LESS_9TH,3.7
147,Barrow County,GA,EDUCATION_LESS_9TH,6.0
148,Barry County,MI,EDUCATION_LESS_9TH,1.9
149,Barry County,MO,EDUCATION_LESS_9TH,5.9
150,Bartholomew County,IN,EDUCATION_LESS_9TH,2.8
151,Barton County,KS,EDUCATION_LESS_9TH,4.0
152,Barton County,MO,EDUCATION_LESS_9TH,5.1
153,Bartow County,GA,EDUCATION_LESS_9TH,5.1
154,Bastrop County,TX,EDUCATION_LESS_9TH,9.8
155,Bates County,MO,EDUCATION_LESS_9TH,3.5
156,Bath County,KY,EDUCATION_LESS_9TH,10.7
157,Bath County,VA,EDUCATION_LESS_9TH,4.6
158,Baxter County,AR,EDUCATION_LESS_9TH,2.8
159,Bay County,FL,EDUCATION_LESS_9TH,2.8
160,Bay County,MI,EDUCATION_LESS_9TH,2.8
161,Bayfield County,WI,EDUCATION_LESS_9TH,1.0
162,Baylor County,TX,EDUCATION_LESS_9TH,3.9
163,Beadle County,SD,EDUCATION_LESS_9TH,9.2
164,Bear Lake County,ID,EDUCATION_LESS_9TH,1.2
165,Beaufort County,NC,EDUCATION_LESS_9TH,3.9
166,Beaufort County,SC,EDUCATION_LESS_9TH,2.2
167,Beauregard Parish,LA,EDUCATION_LESS_9TH,6.5
168,Beaver County,OK,EDUCATION_LESS_9TH,7.4
169,Beaver County,PA,EDUCATION_LESS_9TH,1.8
170,Beaver County,UT,EDUCATION_LESS_9TH,1.8
171,Beaverhead County,MT,EDUCATION_LESS_9TH,1.0
172,Becker County,MN,EDUCATION_LESS_9TH,2.6
173,Beckham County,OK,EDUCATION_LESS_9TH,2.8
174,Bedford County,PA,EDUCATION_LESS_9TH,3.5
175,Bedford County,TN,EDUCATION_LESS_9TH,7.7
176,Bedford County,VA,EDUCATION_LESS_9TH,3.2
